Source,Target,Type,Label,Weight,source type,edge label,target type,gender
Atala,das junge Mädchen,Undirected,,1,Figur,verkörpert,Rolle,
Marquette,Pater,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Greis,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Patriarch,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Liebling,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Mensch,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Wilder,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Mädchen,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Führerin,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Gast,Undirected,,1,Figur,verkörpert,Rolle,
Fernelon,männlich,Undirected,,1,Figur,verkörpert,Rolle,
René,Franzose,Undirected,,1,Figur,verkörpert,Rolle,
Celuta,Mädchen,Undirected,,1,Figur,verkörpert,Rolle,
Celuta,weiblich,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Anführer,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Blinder,Undirected,,1,Figur,verkörpert,Rolle,
René,Sohn,Undirected,,1,Figur,verkörpert,Rolle,
René,Mensch,Undirected,,1,Figur,verkörpert,Rolle,
René,Wilder,Undirected,,1,Figur,verkörpert,Rolle,
Outalissi,Vater,Undirected,,1,Figur,verkörpert,Rolle,
Outalissi,Krieger,Undirected,,1,Figur,verkörpert,Rolle,
Lopez,Beschützer,Undirected,,1,Figur,verkörpert,Rolle,
Lopez,Mensch,Undirected,,1,Figur,verkörpert,Rolle,
Lopez,Castilianer,Undirected,,1,Figur,verkörpert,Rolle,
Lopez,Vater,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Sohn,Undirected,,1,Figur,verkörpert,Rolle,
Lopez,Spanier,Undirected,,1,Figur,verkörpert,Rolle,
Lopez,Wohltäter,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Natsche,Undirected,,1,Figur,verkörpert,Rolle,
Simaghan,Anführer,Undirected,,1,Figur,verkörpert,Rolle,
Outalissis,Sohn,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Gefangener,Undirected,,1,Figur,verkörpert,Rolle,
Siminole,Bundgenosse,Undirected,,1,Figur,verkörpert,Rolle,
Atala,Weib,Undirected,,1,Figur,verkörpert,Rolle,
Atala,Jungweiblich,Undirected,,1,Figur,verkörpert,Rolle,
Atala,Indianerin,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Götzendiener,Undirected,,1,Figur,verkörpert,Rolle,
Atala,Christin,Undirected,,1,Figur,verkörpert,Rolle,
Atala,Tochter,Undirected,,1,Figur,verkörpert,Rolle,
Simaghans,Anführer,Undirected,,1,Figur,verkörpert,Rolle,
René,Kind,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Krieger,Undirected,,1,Figur,verkörpert,Rolle,
