Source,Target,Type,Label,Weight,source type,edge label,target type
Natalie,Frau,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Neugeborenes,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Natalie,Mutter,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Kind,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Mann,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Charles de Vandenesse,Bruder,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Schwester von Felix,Schwester,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Mutter von Felix,Mutter,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Enterbter,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Träumer,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Madmoiselle Caroline,Gouvernante,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Heimtücker,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Junge,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Mutter von Felix,Madame,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Lügner,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Charles de Vandenesse,Kind,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Charles de Vandenesse,Mann,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Charles de Vandenesse,Liebling,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Charles de Vandenesse,Augapfel,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Externer,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Zielscheibe,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Charles de Vandenesse,Spaßvogel,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Vater von Felix,Vater,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Erfinder,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Doisy,Portier,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Doisy,Schmugger,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Vertrauter,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Doisy,Meister,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Charles de Vandenesse,Unterhändler,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Doisy,Unterhändler,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Charles de Vandenesse,Dolmetscher,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Charles de Vandenesse,Fürsprecher,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Sohn,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Marat,Engel,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Interner,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Schuldner,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Monsier Lepître,Professor,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Marquise de Listomère,Dame,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Marquise de Listomère,Tante,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Jean,Kammerdiener,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Monsier Lepître,Edler,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Vogel,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Greis,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Jüngling,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Mutter von Felix,Rabenmutter,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Schauspieler,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Zwanzigjähriger,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Mutter von Felix,Frau,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Mutter von Felix,Listomères,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Mutter von Felix,Herzloser,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Wehrloser,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Charles de Vandenesse,Wehrloser,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Marquise de Listomère,Vetter,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Monsieur der Mortsauf,Armer,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Monsieur der Mortsauf,Verbannter,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Monsieur,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Monsieur der Mortsauf,Fremdling,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Monsieur der Mortsauf,Emigrant,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Monsieur der Mortsauf,Sohn,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Tier,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Monsieur der Mortsauf,Herr,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Hund,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Jacques Mortsauf,Neugeborener,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Jacques Mortsauf,Person,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Monsieur der Mortsauf,Person,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Monsieur der Mortsauf,Leser,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Monsieur der Mortsauf,Grundbesitzer,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Jacques Mortsauf,Liebling,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Messieur,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Monsieur de Chessel,Gastgeber,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Monsieur der Mortsauf,Krautjunker,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
Felix de Vandenesse,Mädchen,Undirected,,Monsieur der Mortsauf,Figur,verkörpert,Rolle
