Source,Target,Type,Label,Weight,source type,edge label,target type
Mr. Lockwood,Pächter,Undirected,,1,Figur,verkörpert,Rolle
Joseph,Gesinde,Undirected,,1,Figur,verkörpert,Rolle
Joseph,Mann,Undirected,,1,Figur,verkörpert,Rolle
Mr. Lockwood,Schnecke,Undirected,,1,Figur,verkörpert,Rolle
Joseph,Knecht,Undirected,,1,Figur,verkörpert,Rolle
Mr. Lockwood,Gast,Undirected,,1,Figur,verkörpert,Rolle
Haushälterin,Frau,Undirected,,1,Figur,verkörpert,Rolle
Cathy Linton,Wesen,Undirected,,1,Figur,verkörpert,Rolle
Cathy Linton,Frau,Undirected,,1,Figur,verkörpert,Rolle
Cathy Linton,Wirtin,Undirected,,1,Figur,verkörpert,Rolle
Cathy Linton,Kind,Undirected,,1,Figur,verkörpert,Rolle
Cathy Linton,Hausfrau,Undirected,,1,Figur,verkörpert,Rolle
Cathy Linton,Mrs. Heathcliff,Undirected,,1,Figur,verkörpert,Rolle
Cathy Linton,Schutzengel,Undirected,,1,Figur,verkörpert,Rolle
Hareton Earnshaw,Tölpel,Undirected,,1,Figur,verkörpert,Rolle
Hareton Earnshaw,Mann,Undirected,,1,Figur,verkörpert,Rolle
Hareton Earnshaw,Knecht,Undirected,,1,Figur,verkörpert,Rolle
Hareton Earnshaw,Landarbeiter,Undirected,,1,Figur,verkörpert,Rolle
Cathy Linton,Dame,Undirected,,1,Figur,verkörpert,Rolle
Hareton Earnshaw,Bauernlümmel,Undirected,,1,Figur,verkörpert,Rolle
Hareton Earnshaw,Nachbar,Undirected,,1,Figur,verkörpert,Rolle
Cathy Linton,Schwiegertochter,Undirected,,1,Figur,verkörpert,Rolle
Hareton Earnshaw,Gefährte,Undirected,,1,Figur,verkörpert,Rolle
Cathy Linton,Fee,Undirected,,1,Figur,verkörpert,Rolle
Hareton Earnshaw,Sohn,Undirected,,1,Figur,verkörpert,Rolle
Hareton Earnshaw,Bär,Undirected,,1,Figur,verkörpert,Rolle
Joseph,Kerl,Undirected,,1,Figur,verkörpert,Rolle
Joseph,Häuchler,Undirected,,1,Figur,verkörpert,Rolle
Joseph,Alter,Undirected,,1,Figur,verkörpert,Rolle
