Source,Target,Type,Label,Weight,source type,edge label,target type
Hexe Hargar,Meg,Undirected,,1,Rolle,spielt,Figur
Hugo,Jo,Undirected,,1,Rolle,spielt,Figur
ein Kobold,Beth,Undirected,,1,Rolle,spielt,Figur
ein Geist,Amy,Undirected,,1,Rolle,spielt,Figur
Zara,Amy,Undirected,,1,Rolle,spielt,Figur
Roderigo,Jo,Undirected,,1,Rolle,spielt,Figur
das Publikum,Mrs. March,Undirected,,1,Rolle,spielt,Figur
Jo,Mädchen,Undirected,,1,Figur,verkörpert,Rolle
Meg,Mädchen,Undirected,,1,Figur,verkörpert,Rolle
Amy,Mädchen,Undirected,,1,Figur,verkörpert,Rolle
Beth,Mädchen,Undirected,,1,Figur,verkörpert,Rolle
Mrs. March,Mutter,Undirected,,1,Figur,verkörpert,Rolle
Mr. March,Vater,Undirected,,1,Figur,verkörpert,Rolle
Jo,Bücherwurm,Undirected,,1,Figur,verkörpert,Rolle
Mr. March,Papa,Undirected,,1,Figur,verkörpert,Rolle
Jo,Völkchen,Undirected,,1,Figur,verkörpert,Rolle
Meg,Völkchen,Undirected,,1,Figur,verkörpert,Rolle
Amy,Völkchen,Undirected,,1,Figur,verkörpert,Rolle
Beth,Völkchen,Undirected,,1,Figur,verkörpert,Rolle
Jo,Gestalt,Undirected,,1,Figur,verkörpert,Rolle
Amy,Hosenmatz,Undirected,,1,Figur,verkörpert,Rolle
Beth,Friedensstifterin,Undirected,,1,Figur,verkörpert,Rolle
Meg,Schwester,Undirected,,1,Figur,verkörpert,Rolle
Jo,Josephine,Undirected,,1,Figur,verkörpert,Rolle
Jo,junge Dame,Undirected,,1,Figur,verkörpert,Rolle
Jo,Miss March,Undirected,,1,Figur,verkörpert,Rolle
Jo,kein Junge,Undirected,,1,Figur,verkörpert,Rolle
Jo,Bruder,Undirected,,1,Figur,verkörpert,Rolle
Amy,Gans,Undirected,,1,Figur,verkörpert,Rolle
Jo,Wildfang,Undirected,,1,Figur,verkörpert,Rolle
Beth,Schätzchen,Undirected,,1,Figur,verkörpert,Rolle
Beth,Maus,Undirected,,1,Figur,verkörpert,Rolle
Beth,Liebling,Undirected,,1,Figur,verkörpert,Rolle
Jo,Schwester,Undirected,,1,Figur,verkörpert,Rolle
Beth,Schwester,Undirected,,1,Figur,verkörpert,Rolle
Amy,Schwester,Undirected,,1,Figur,verkörpert,Rolle
