Source,Target,Type,Label,Weight,source type,edge label,target type
Alexej,Sohn,Undirected,,1,Figur,verkörpert,Rolle
Sofja Iwanowna,Frau,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Gutsbesitzer,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Typ,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Mensch,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Kostgänger,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Narr,Undirected,,1,Figur,verkörpert,Rolle
Dmitri,Sohn,Undirected,,1,Figur,verkörpert,Rolle
Iwan,Sohn,Undirected,,1,Figur,verkörpert,Rolle
Adelaida Iwanowna Miusow,Frau,Undirected,,1,Figur,verkörpert,Rolle
Miussow,Gutsbesitzer,Undirected,,1,Figur,verkörpert,Rolle
Adelaida Iwanowna Miusow,Mädchen,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Jammerlappen,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Mann,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Possenreißer,Undirected,,1,Figur,verkörpert,Rolle
Adelaida Iwanowna Miusow,Braut,Undirected,,1,Figur,verkörpert,Rolle
Adelaida Iwanowna Karamasow,Entflohene,Undirected,,1,Figur,verkörpert,Rolle
Adelaida Iwanowna Karamasow,Ehegatte,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Ehegatte,Undirected,,1,Figur,verkörpert,Rolle
Adelaida Iwanowna Karamasow,junge Frau,Undirected,,1,Figur,verkörpert,Rolle
Adelaida Iwanowna Karamasow,Gattin,Undirected,,1,Figur,verkörpert,Rolle
Adelaida Iwanowna Karamasow,Eheleute,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Eheleute,Undirected,,1,Figur,verkörpert,Rolle
Seminarist,Seminarist,Undirected,,1,Figur,verkörpert,Rolle
Seminarist,Lehrer,Undirected,,1,Figur,verkörpert,Rolle
Dmitri,Mitja,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Ehemann,Undirected,,1,Figur,verkörpert,Rolle
Adelaida Iwanowna Karamasow,Ärmste,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Kind,Undirected,,1,Figur,verkörpert,Rolle
Adelaida Iwanowna Karamasow,Befreierin,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Erzieher,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Vater,Undirected,,1,Figur,verkörpert,Rolle
Dmitri,Kind,Undirected,,1,Figur,verkörpert,Rolle
Dmitri,Kleiner,Undirected,,1,Figur,verkörpert,Rolle
Grigori,Diener,Undirected,,1,Figur,verkörpert,Rolle
Pjotr Alexandrowitsch Miussow,Großvater,Undirected,,1,Figur,verkörpert,Rolle
Pjotr Alexandrowitsch Miussow,Vater,Undirected,,1,Figur,verkörpert,Rolle
Frau Muissow,Großmutter,Undirected,,1,Figur,verkörpert,Rolle
Frau Muissow,Gattin,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Papa,Undirected,,1,Figur,verkörpert,Rolle
Pjotr Alexandrowitsch Miussow,Vetter,Undirected,,1,Figur,verkörpert,Rolle
Pjotr Alexandrowitsch Miussow,Freund,Undirected,,1,Figur,verkörpert,Rolle
Pjotr Alexandrowitsch Miussow,Anhänger,Undirected,,1,Figur,verkörpert,Rolle
Pjotr Alexandrowitsch Miussow,Liberaler,Undirected,,1,Figur,verkörpert,Rolle
Pjotr Alexandrowitsch Miussow,Staatsbürger,Undirected,,1,Figur,verkörpert,Rolle
Pjotr Alexandrowitsch Miussow,Mensch,Undirected,,1,Figur,verkörpert,Rolle
Pjotr Alexandrowitsch Miussow,Vormund,Undirected,,1,Figur,verkörpert,Rolle
Pjotr Alexandrowitsch Miussow,Onkel,Undirected,,1,Figur,verkörpert,Rolle
Adelaida Iwanowna Karamasow,Mutter,Undirected,,1,Figur,verkörpert,Rolle
Moskauer Dame,Tante,Undirected,,1,Figur,verkörpert,Rolle
Moskauer Dame,Dame,Undirected,,1,Figur,verkörpert,Rolle
Tochter der Moskauer Dame,Tochter,Undirected,,1,Figur,verkörpert,Rolle
Dmitri,Erstgeborener,Undirected,,1,Figur,verkörpert,Rolle
Dmitri,Knabe,Undirected,,1,Figur,verkörpert,Rolle
Dmitri,Offizier,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Erzeuger,Undirected,,1,Figur,verkörpert,Rolle
Dmitri,junger Mann,Undirected,,1,Figur,verkörpert,Rolle
Dmitri,Bruder,Undirected,,1,Figur,verkörpert,Rolle
Iwan,Bruder,Undirected,,1,Figur,verkörpert,Rolle
Alexej,Bruder,Undirected,,1,Figur,verkörpert,Rolle
Sofja Iwanowna,junge Frau,Undirected,,1,Figur,verkörpert,Rolle
ein Jude,Jude,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Trinker,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Wüstling,Undirected,,1,Figur,verkörpert,Rolle
Sofja Iwanowna,Tochter,Undirected,,1,Figur,verkörpert,Rolle
Sofja Iwanowna,Waise,Undirected,,1,Figur,verkörpert,Rolle
Vater von Sofja,Diakon,Undirected,,1,Figur,verkörpert,Rolle
General Worochows Frau,Wohltäterin,Undirected,,1,Figur,verkörpert,Rolle
General Worochows Frau,Erzieherin,Undirected,,1,Figur,verkörpert,Rolle
General Worochows Frau,Peinigerin,Undirected,,1,Figur,verkörpert,Rolle
General Worochows Frau,alte Dame,Undirected,,1,Figur,verkörpert,Rolle
General Worochows Frau,Witwe,Undirected,,1,Figur,verkörpert,Rolle
Sofja Iwanowna,Pflegetochter,Undirected,,1,Figur,verkörpert,Rolle
General Worochows Frau,Alte,Undirected,,1,Figur,verkörpert,Rolle
General Worochows Frau,Querkopf,Undirected,,1,Figur,verkörpert,Rolle
Sofja Iwanowna,Mädchen,Undirected,,1,Figur,verkörpert,Rolle
General Worochows Frau,alte Frau,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Wohltäter,Undirected,,1,Figur,verkörpert,Rolle
General Worochows Frau,Generalin,Undirected,,1,Figur,verkörpert,Rolle
Fjordor Pawlowitsch Karamasow,Liebhaber,Undirected,,1,Figur,verkörpert,Rolle
Grigori,Mensch,Undirected,,1,Figur,verkörpert,Rolle
Adelaida Iwanowna Karamasow,Hausfrau,Undirected,,1,Figur,verkörpert,Rolle
