Id,Label,node type,gender
Mutter des Grafen Muffat,Mutter des Grafen Muffat,Figur,
Foucarmont,Foucarmont,Figur,
Herr Venot,Herr Venot,Figur,
dritter Herr,dritter Herr,Figur,
Léonide de Chezelles,Léonide de Chezelles,Figur,
Estelle,Estelle,Figur,
Gräfin Sabine,Gräfin Sabine,Figur,
Marquis de Chouard,Marquis de Chouard,Figur,
Madame Maloir,Madame Maloir,Figur,
Madame Lerat,Madame Lerat,Figur,
Francis,Francis,Figur,
Die Tricon,Die Tricon,Figur,
Nanas Sohn,Nanas Sohn,Figur,
Ein Kohlenhändler,Ein Kohlenhändler,Figur,
Herr Paul,Herr Paul,Figur,
Der Mulatte,Der Mulatte,Figur,
Zoe,Zoe,Figur,
Ein Handelsherr,Ein Handelsherr,Figur,
Rotte Männer,Rotte Männer,Figur,
Ein Student,Ein Student,Figur,
Ein Bürochef,Ein Bürochef,Figur,
Madame Robert,Madame Robert,Figur,
Satin,Satin,Figur,
Graf Muffat,Graf Muffat,Figur,
zwei Männer,zwei Männer,Figur,
ein Mann,ein Mann,Figur,
Backfisch,Backfisch,Figur,
einige Herren,einige Herren,Figur,
Bruder Studio,Bruder Studio,Figur,
Fontan,Fontan,Figur,
Chorsänger,Chorsänger,Figur,
Bosc,Bosc,Figur,
Prulière,Prulière,Figur,
Clarisse Besnus,Clarisse Besnus,Figur,
Die Zuschauer,Die Zuschauer,Figur,
Labordette,Labordette,Figur,
Gräfin Muffat,Gräfin Muffat,Figur,
Nachbarin des dritten Kritikers,Nachbarin des dritten Kritikers,Figur,
dritter Kritiker,dritter Kritiker,Figur,
Lucy Steward,Lucy Steward,Figur,
Bordenave,Bordenave,Figur,
Gruppe Frauen,Gruppe Frauen,Figur,
Bankier Steiner,Bankier Steiner,Figur,
Hector de la Faloise,Hector de la Faloise,Figur,
Graf Xavier de Vandeuvres,Graf Xavier de Vandeuvres,Figur,
Monsieur Mignon,Monsieur Mignon,Figur,
ein Kritiker,ein Kritiker,Figur,
Ein Herr,Ein Herr,Figur,
Gagas Tochter,Gagas Tochter,Figur,
junger Mensch,junger Mensch,Figur,
Rose Mignon,Rose Mignon,Figur,
Gaga,Gaga,Figur,
Daguenet,Daguenet,Figur,
Mutter Héquet,Mutter Héquet,Figur,
Blanche de Sivry,Blanche de Sivry,Figur,
Herr Fauchery,Herr Fauchery,Figur,
Caroline Héquet,Caroline Héquet,Figur,
Gruppe Menschen,Gruppe Menschen,Figur,
zweiter Herr,zweiter Herr,Figur,
zweite Dame,zweite Dame,Figur,
Nana,Nana,Figur,
zweiter Kritiker,zweiter Kritiker,Figur,
Eine Dame,Eine Dame,Figur,
Mann,Mann,Rolle,männlich
Besucher,Besucher,Rolle,männlich
Lieber,Lieber,Rolle,männlich
Venus,Venus,Rolle,weiblich
Herr,Herr,Rolle,männlich
Gefährte,Gefährte,Rolle,männlich
Vetter,Vetter,Rolle,männlich
Direktor,Direktor,Rolle,männlich
Bagnoaufseher,Bagnoaufseher,Rolle,männlich
Provinzler,Provinzler,Rolle,männlich
Krähe,Krähe,Rolle,genderneutral
Komödiantin,Komödiantin,Rolle,weiblich
Klotz,Klotz,Rolle,genderneutral
Mensch,Mensch,Rolle,genderneutral
Frauenzimmer,Frauenzimmer,Rolle,männlich
Weibsbild,Weibsbild,Rolle,weiblich
Stern,Stern,Rolle,genderneutral
Schauspielerin,Schauspielerin,Rolle,weiblich
Sängerin,Sängerin,Rolle,weiblich
