Source,Target,Type,Label,Weight,source type,edge label,target type
Octave,der junge Mann,Undirected,,1,Figur,verkörpert,Genderrolle
Sohn,Auguste Vabre,Undirected,,1,Genderrolle,verkörpert,Figur
Tochter,Töchter Josserands,Undirected,,1,Genderrolle,hat / ist,Figur
Hausmädchen,Zofe von Rose Campardon,Undirected,,1,Genderrolle,verkörpert,Figur
Octave,junger Mann,Undirected,,1,Figur,verkörpert,Rolle
Herr Campardon,Architekt,Undirected,,1,Figur,verkörpert,Rolle
Herr Campardon,Mieter,Undirected,,1,Figur,verkörpert,Rolle
Herr Gourd,Vermieter,Undirected,,1,Figur,verkörpert,Rolle
Herr Gourd,Herr,Undirected,,1,Figur,verkörpert,Rolle
Octave,Betreffender,Undirected,,1,Figur,verkörpert,Rolle
Octave,Herr,Undirected,,1,Figur,verkörpert,Rolle
Octave,Freund,Undirected,,1,Figur,verkörpert,Rolle
Frau Gourd,Frau,Undirected,,1,Figur,verkörpert,Rolle
Herr Gourd,Kammerdiener,Undirected,,1,Figur,verkörpert,Rolle
Frau Gourd,Witwe,Undirected,,1,Figur,verkörpert,Rolle
Herr Gourd,Conciergeleute,Undirected,,1,Figur,verkörpert,Rolle
Frau Gourd,Conciergeleute,Undirected,,1,Figur,verkörpert,Rolle
Eine Frau,Figur,Undirected,,1,Figur,verkörpert,Rolle
Eine Frau,Neapolitanerin,Undirected,,1,Figur,verkörpert,Rolle
Octave,Lieber,Undirected,,1,Figur,verkörpert,Rolle
Auguste Vabre,feine Leute,Undirected,,1,Figur,verkörpert,Rolle
Auguste Vabre,Mieter,Undirected,,1,Figur,verkörpert,Rolle
Auguste Vabre,Herr,Undirected,,1,Figur,verkörpert,Rolle
Théophile Vabre,feine Leute,Undirected,,1,Figur,verkörpert,Rolle
Théophile Vabre,Mieter,Undirected,,1,Figur,verkörpert,Rolle
Théophile Vabre,Herr,Undirected,,1,Figur,verkörpert,Rolle
Théophile Vabre,Sohn,Undirected,,1,Figur,verkörpert,Rolle
Frau Vabre,Gattin,Undirected,,1,Figur,verkörpert,Rolle
Der Hausbesitzer,Notar,Undirected,,1,Figur,verkörpert,Rolle
Herr Duveyrier,Schwiegersohn,Undirected,,1,Figur,verkörpert,Rolle
Herr Duveyrier,Appellationsgerichtsrat,Undirected,,1,Figur,verkörpert,Rolle
Herr Duveyrier,Bursche,Undirected,,1,Figur,verkörpert,Rolle
Frau Juzeur,Frau,Undirected,,1,Figur,verkörpert,Rolle
Die Josserands,Familie,Undirected,,1,Figur,verkörpert,Rolle
Die Josserands,Nachbarn,Undirected,,1,Figur,verkörpert,Rolle
Herr Josserand,Vater,Undirected,,1,Figur,verkörpert,Rolle
Herr Josserand,Kassirer,Undirected,,1,Figur,verkörpert,Rolle
Die Pichons,Angestelltenehepaar,Undirected,,1,Figur,verkörpert,Rolle
Die Pichons,Leute,Undirected,,1,Figur,verkörpert,Rolle
Octave,Bester,Undirected,,1,Figur,verkörpert,Rolle
Herr Campardon,Künstler,Undirected,,1,Figur,verkörpert,Rolle
Zofe von Rose Campardon,Ding,Undirected,,1,Figur,verkörpert,Rolle
Angèle Campardon,Tochter,Undirected,,1,Figur,verkörpert,Rolle
Zofe von Rose Campardon,Zofe,Undirected,,1,Figur,verkörpert,Rolle
Victoire,Alte,Undirected,,1,Figur,verkörpert,Rolle
Victoire,Köchin,Undirected,,1,Figur,verkörpert,Rolle
Herr Campardon,Hausherr,Undirected,,1,Figur,verkörpert,Rolle
Zofe von Rose Campardon,Lisa,Undirected,,1,Figur,verkörpert,Rolle
Adèle,Schmutzliese,Undirected,,1,Figur,verkörpert,Rolle
Herr Campardon,Diözesanarchitekt,Undirected,,1,Figur,verkörpert,Rolle
Herr Campardon,Regierungsbaumeister,Undirected,,1,Figur,verkörpert,Rolle
Octave,Künstlerkopf,Undirected,,1,Figur,verkörpert,Rolle
Octave,Spießbürger,Undirected,,1,Figur,verkörpert,Rolle
Rose Campardon,Frau,Undirected,,1,Figur,verkörpert,Rolle
Rose Campardon,Gattin,Undirected,,1,Figur,verkörpert,Rolle
Octave,Bengel,Undirected,,1,Figur,verkörpert,Rolle
Herr Domergue,Vater,Undirected,,1,Figur,verkörpert,Rolle
Herr Domergue,Inspektor,Undirected,,1,Figur,verkörpert,Rolle
Rose Campardon,Backfisch,Undirected,,1,Figur,verkörpert,Rolle
Rose Campardon,Nonne,Undirected,,1,Figur,verkörpert,Rolle
Rose Campardon,Naschkatze,Undirected,,1,Figur,verkörpert,Rolle
Octave,Mann,Undirected,,1,Figur,verkörpert,Rolle
Octave,Bursche,Undirected,,1,Figur,verkörpert,Rolle
Gasparine,Cousine,Undirected,,1,Figur,verkörpert,Rolle
Herr Domergue,Herr,Undirected,,1,Figur,verkörpert,Rolle
Frau Domergue,Frau,Undirected,,1,Figur,verkörpert,Rolle
Herr Domergue,Eltern,Undirected,,1,Figur,verkörpert,Rolle
Frau Domergue,Eltern,Undirected,,1,Figur,verkörpert,Rolle
Gasparine,Schlingel,Undirected,,1,Figur,verkörpert,Rolle
Gasparine,Mädchen,Undirected,,1,Figur,verkörpert,Rolle
Gasparine,Verlassene,Undirected,,1,Figur,verkörpert,Rolle
Tante von Gasparine,Tante,Undirected,,1,Figur,verkörpert,Rolle
Tante von Gasparine,Schneiderin,Undirected,,1,Figur,verkörpert,Rolle
Herr Mouret,Eltern,Undirected,,1,Figur,verkörpert,Rolle
Frau Mouret,Eltern,Undirected,,1,Figur,verkörpert,Rolle
Herr Mouret,Herr,Undirected,,1,Figur,verkörpert,Rolle
Frau Mouret,Frau,Undirected,,1,Figur,verkörpert,Rolle
