Id,Label,node type,gender
Herzogin von Harley,Herzogin von Harley,Figur,
Lord Faudel,Lord Faudel,Figur,
Dorians Vater,Dorians Vater,Figur,
Sir Thomas Burdon,Sir Thomas Burdon,Figur,
Sibyl Vanes Mutter,Sibyl Vanes Mutter,Figur,
Herzog von Harley,Herzog von Harley,Figur,
Herr Erskine,Herr Erskine,Figur,
Onkel Lord Fermor,Onkel Lord Fermor,Figur,
Lady Brandon,Lady Brandon,Figur,
Dorians Mutter,Dorians Mutter,Figur,
Romeo,Romeo,Figur,
Ein Hebräer,Ein Hebräer,Figur,
Ein Diener,Ein Diener,Figur,
Dorians Großvater,Dorians Großvater,Figur,
Sibyl Vane,Sibyl Vane,Figur,
Ein Jude,Ein Jude,Figur,
Damen,Damen,Figur,
Lord Henry,Lord Henry,Figur,
Herr Erskine of Treadley,Herr Erskine of Treadley,Figur,
Dartmoor,Dartmoor,Figur,
Vater von Lord Fermor,Vater von Lord Fermor,Figur,
Tante Agatha,Tante Agatha,Figur,
Mercutio,Mercutio,Figur,
Lady Henry,Lady Henry,Figur,
Basil Hallward,Basil Hallward,Figur,
Frau Vandeleur,Frau Vandeleur,Figur,
Ein Herr,Ein Herr,Figur,
Akademiker,Akademiker,Figur,
Basil,Basil,Figur,
Eine Amerikanerin,Eine Amerikanerin,Figur,
Witwen,Witwen,Figur,
Jüngling,Jüngling,Rolle,männlich
Maler,Maler,Rolle,männlich
Schöpfer,Schöpfer,Rolle,männlich
Lieber,Lieber,Rolle,männlich
Kauz,Kauz,Rolle,männlich
Adonis,Adonis,Rolle,männlich
Narziß,Narziß,Rolle,männlich
Freund,Freund,Rolle,männlich
Geschöpf,Geschöpf,Rolle,genderneutral
Künstler,Künstler,Rolle,männlich
Harry,Harry,Rolle,männlich
Ehefrau,Ehefrau,Rolle,weiblich
Ehemann,Ehemann,Rolle,männlich
Mann,Mann,Rolle,männlich
Gefährte,Gefährte,Rolle,männlich
Frau,Frau,Rolle,weiblich
Mensch,Mensch,Rolle,genderneutral
Herr,Herr,Rolle,männlich
Pfau,Pfau,Rolle,genderneutral
Junge,Junge,Rolle,männlich
Mutter,Mutter,Rolle,weiblich
Lord,Lord,Rolle,männlich
Bekannter,Bekannter,Rolle,männlich
Bruder,Bruder,Rolle,männlich
Modell,Modell,Rolle,genderneutral
Knabe,Knabe,Rolle,männlich
Tante,Tante,Rolle,weiblich
Wesen,Wesen,Rolle,genderneutral
Diener,Diener,Rolle,männlich
Liebling,Liebling,Rolle,genderneutral
Opfer,Opfer,Rolle,genderneutral
Märtyrer,Märtyrer,Rolle,männlich
