Source,Target,Type,Label,Weight,source type,edge label,target type
Sidos Halbbruder,Sohn,Undirected,,1,Figur,spielt,Rolle
Minet,Chéri,Undirected,,1,Figur,verkörpert,Rolle
Sidos Mutter,Mutter,Undirected,,1,Figur,verkörpert,Rolle
Mademoiselle Thévenin,Cousine,Undirected,,1,Figur,verkörpert,Rolle
Dame Quériot,Dame,Undirected,,1,Figur,verkörpert,Rolle
Dame Quériot,Kassiererin,Undirected,,1,Figur,verkörpert,Rolle
Dame Quériot,Frau,Undirected,,1,Figur,verkörpert,Rolle
Sido,Frau,Undirected,,1,Figur,verkörpert,Rolle
Sido,Provinzlerin,Undirected,,1,Figur,verkörpert,Rolle
Sidos Vater,Vater,Undirected,,1,Figur,verkörpert,Rolle
Sidos Mutter,Mama,Undirected,,1,Figur,verkörpert,Rolle
Die Vivenets,Jungvermählte,Undirected,,1,Figur,verkörpert,Rolle
Mutter Vivenet,Mutter,Undirected,,1,Figur,verkörpert,Rolle
Frau Vivenet,Braut,Undirected,,1,Figur,verkörpert,Rolle
Herr Vivenet,Bräutigam,Undirected,,1,Figur,verkörpert,Rolle
Herr Vivenet,Mann,Undirected,,1,Figur,verkörpert,Rolle
Sidos Mutter,Hausfrau,Undirected,,1,Figur,verkörpert,Rolle
Mutter Adolphe,Mutter,Undirected,,1,Figur,verkörpert,Rolle
Sido,Schiffsjunge,Undirected,,1,Figur,verkörpert,Rolle
Sido,Schöne,Undirected,,1,Figur,verkörpert,Rolle
Sido,Schätzchen,Undirected,,1,Figur,verkörpert,Rolle
Sidos Mutter,Madame Colette,Undirected,,1,Figur,verkörpert,Rolle
Sidos Vater,Mensch,Undirected,,1,Figur,verkörpert,Rolle
Sido,Tochter,Undirected,,1,Figur,verkörpert,Rolle
Sido,Kind,Undirected,,1,Figur,verkörpert,Rolle
Sido,Schatzsucher,Undirected,,1,Figur,verkörpert,Rolle
Sido,Mörderin,Undirected,,1,Figur,verkörpert,Rolle
Monsieur Enfert,Mann,Undirected,,1,Figur,verkörpert,Rolle
ein Neugeborenes,Kind,Undirected,,1,Figur,verkörpert,Rolle
ein Neugeborenes,Kleiner,Undirected,,1,Figur,verkörpert,Rolle
ein Neugeborenes,Säugling,Undirected,,1,Figur,verkörpert,Rolle
ein Neugeborenes,Junge,Undirected,,1,Figur,verkörpert,Rolle
ein Neugeborenes,Böser,Undirected,,1,Figur,verkörpert,Rolle
Sido,Bäuerin,Undirected,,1,Figur,verkörpert,Rolle
Sido,Phantastin,Undirected,,1,Figur,verkörpert,Rolle
Sido,Französin,Undirected,,1,Figur,verkörpert,Rolle
Sidos Vater,Ehemann,Undirected,,1,Figur,verkörpert,Rolle
Léo,Bruder,Undirected,,1,Figur,verkörpert,Rolle
Sidos Vater,Antoine,Undirected,,1,Figur,verkörpert,Rolle
Sido,Goldschätzchen,Undirected,,1,Figur,verkörpert,Rolle
Sido,Tier,Undirected,,1,Figur,verkörpert,Rolle
Sido,Äffchen,Undirected,,1,Figur,verkörpert,Rolle
Adrienne,Freundin,Undirected,,1,Figur,verkörpert,Rolle
Sido,Wildfang,Undirected,,1,Figur,verkörpert,Rolle
Léo,Sohn,Undirected,,1,Figur,verkörpert,Rolle
Léo,Lazzarone,Undirected,,1,Figur,verkörpert,Rolle
Léo,Richter,Undirected,,1,Figur,verkörpert,Rolle
Sido,Lyrikerin,Undirected,,1,Figur,verkörpert,Rolle
Sidos Mann,Mann,Undirected,,1,Figur,verkörpert,Rolle
Sidos Vater,Mann,Undirected,,1,Figur,verkörpert,Rolle
Sidos Mutter,Gefährtin,Undirected,,1,Figur,verkörpert,Rolle
Sidos Vater,Jules-Joseph Colette,Undirected,,1,Figur,verkörpert,Rolle
Sidos Vater,Hauptmann,Undirected,,1,Figur,verkörpert,Rolle
Sidos Vater,Südländer,Undirected,,1,Figur,verkörpert,Rolle
Sidos Vater,Italiener,Undirected,,1,Figur,verkörpert,Rolle
Sidos Vater,Messerstecher,Undirected,,1,Figur,verkörpert,Rolle
Sidos Vater,Liebhaber,Undirected,,1,Figur,verkörpert,Rolle
Juliette,Schwester,Undirected,,1,Figur,verkörpert,Rolle
Herr Dr. R.,Mann,Undirected,,1,Figur,verkörpert,Rolle
Juliette,Tochter,Undirected,,1,Figur,verkörpert,Rolle
Juliette,Kind,Undirected,,1,Figur,verkörpert,Rolle
Laroche,Pächter,Undirected,,1,Figur,verkörpert,Rolle
Sidos Vater,Bariton,Undirected,,1,Figur,verkörpert,Rolle
Oberst Godchot,Waffengefährte,Undirected,,1,Figur,verkörpert,Rolle
Fournès,Hauptmann,Undirected,,1,Figur,verkörpert,Rolle
Lefèvre,Soldat,Undirected,,1,Figur,verkörpert,Rolle
Oberst Godchot,Oberst,Undirected,,1,Figur,verkörpert,Rolle
Mac-Mahon,Marschall,Undirected,,1,Figur,verkörpert,Rolle
Sido,Kleine,Undirected,,1,Figur,verkörpert,Rolle
Sidos Vater,Poet,Undirected,,1,Figur,verkörpert,Rolle
Sidos Vater,Städter,Undirected,,1,Figur,verkörpert,Rolle
Sido,Waldgeist,Undirected,,1,Figur,verkörpert,Rolle
