Id,Label,node type,gender
Alfred,Alfred,Figur,
Andy,Andy,Figur,
Blondine,Blondine,Figur,
Bürger,Bürger,Figur,
Chinese,Chinese,Figur,
Dame,Dame,Figur,
Doc,Doc,Figur,
Dora,Dora,Figur,
Eddie,Eddie,Figur,
Eva,Eva,Figur,
Familien,Familien,Figur,
Francis Almones,Francis Almones,Figur,
Frankie,Frankie,Figur,
Frankies Vater,Frankies Vater,Figur,
Frau,Frau,Figur,
Gassenkinder,Gassenkinder,Figur,
Gast,Gast,Figur,
Gay,Gay,Figur,
Gott,Gott,Figur,
Hausherr,Hausherr,Figur,
Hazel,Hazel,Figur,
Hazels Mutter,Hazels Mutter,Figur,
Horace Abbeville,Horace Abbeville,Figur,
Hughie,Hughie,Figur,
Jones,Jones,Figur,
Jungfern,Jungfern,Figur,
Kinder,Kinder,Figur,
Knabe,Knabe,Figur,
Koch,Koch,Figur,
Komitee,Komitee,Figur,
Lee Chong,Lee Chong,Figur,
Lee Chongs Großvater,Lee Chongs Großvater,Figur,
Leute,Leute,Figur,
Lou,Lou,Figur,
Mack,Mack,Figur,
Mädchen,Mädchen,Figur,
Mann,Mann,Rolle,männlich
Männer,Männer,Figur,
Mr Carriaga,Mr Carriaga,Figur,
Mr Malloy,Mr Malloy,Figur,
Mütter,Mütter,Figur,
Rattle,Rattle,Figur,
Red,Red,Figur,
Schriftsteller,Schriftsteller,Figur,
Sheriff,Sheriff,Figur,
Tänzerinnen,Tänzerinnen,Figur,
Väter,Väter,Figur,
Volk,Volk,Figur,
William,William,Figur,
Witwe,Witwe,Figur,
Frau Abbeville 1,Frau Abbeville 1,Figur,
Frau Abbeville 2,Frau Abbeville 2,Figur,
Doras Mädchen,Doras Mädchen,Figur,
Ein alter Chinese,Ein alter Chinese,Figur,
Henri,Henri,Figur,
Hazels Vater,Hazels Vater,Figur,
Hazels Großtante,Hazels Großtante,Figur,
Gays Frau,Gays Frau,Figur,
Whitey,Whitey,Figur,
Mr. Randolph,Mr. Randolph,Figur,
Mr. Malloy,Mr. Malloy,Figur,
Mrs. Malloy,Mrs. Malloy,Figur,
Phyllis,Phyllis,Figur,
Sparky Enea,Sparky Enea,Figur,
Josh Billings,Josh Billings,Figur,
Mr. Carriaga,Mr. Carriaga,Figur,
kein Geizhals,kein Geizhals,Rolle,genderneutral
Herr,Herr,Rolle,männlich
Freund,Freund,Rolle,männlich
Hinterbliebene,Hinterbliebene,Rolle,weiblich
Anführer,Anführer,Rolle,männlich
Häuptling,Häuptling,Rolle,männlich
Wortführer,Wortführer,Rolle,männlich
Kumpan,Kumpan,Rolle,männlich
Ausbeuter,Ausbeuter,Rolle,männlich
Jüngling,Jüngling,Rolle,männlich
Aushilfsbarmann,Aushilfsbarmann,Rolle,männlich
Junge,Junge,Rolle,männlich
Katze,Katze,Rolle,genderneutral
Wohltäter,Wohltäter,Rolle,männlich
Mieter,Mieter,Rolle,männlich
Kerl,Kerl,Rolle,männlich
Krämer,Krämer,Rolle,männlich
Wandelstern,Wandelstern,Rolle,genderneutral
Grazie,Grazie,Rolle,weiblich
Taugenichts,Taugenichts,Rolle,männlich
Windhund,Windhund,Rolle,männlich
Diebesgesindel,Diebesgesindel,Rolle,genderneutral
Stromer,Stromer,Rolle,männlich
Halunke,Halunke,Rolle,männlich
Schandfleck,Schandfleck,Rolle,genderneutral
Madam,Madam,Rolle,weiblich
Dirne,Dirne,Rolle,weiblich
Kerntruppe,Kerntruppe,Rolle,genderneutral
