Source,Target,Type,Label,Weight,source type,target type,gender
Wilhelm,Freund,Undirected,,1,Figur,Rolle,Mann
Leonores Schwester,Schwester,Undirected,,1,Figur,Rolle,Frau
Wilhelm,Bester,Undirected,,1,Figur,Rolle,Mann
Werthers Mutter,Mutter,Undirected,,1,Figur,Rolle,Frau
Werthers Tante,Weib,Undirected,,1,Figur,Rolle,Frau
Werthers Tante,Tante,Undirected,,1,Figur,Rolle,Frau
Werthers Tante,Frau,Undirected,,1,Figur,Rolle,Frau
Wilhelm,Lieber,Undirected,,1,Figur,Rolle,Mann
Graf von M.,kein Gärtner,Undirected,,1,Figur,Rolle,Mann
Graf von M.,Herz,Undirected,,1,Figur,Rolle,Genderneutral
Graf von M.,Abgeschiedener,Undirected,,1,Figur,Rolle,Mann
Werther,Herr,Undirected,,1,Figur,Rolle,Mann
Gärtner,Maler,Undirected,,1,Figur,Rolle,Mann
Gott,Allmächtiger,Undirected,,1,Figur,Rolle,Genderneutral
Gott,Alliebender,Undirected,,1,Figur,Rolle,Genderneutral
Mädchen aus der Stadt,Mädchen,Undirected,,1,Figur,Rolle,Frau
Die Altväter,Altväter,Undirected,,1,Figur,Rolle,Mann
Die geringen Leute des Ortes,Leute,Undirected,,1,Figur,Rolle,Genderneutral
Kinder des Ortes,Kind,Undirected,,1,Figur,Rolle,Genderneutral
Die geringen Leute des Ortes,Volk,Undirected,,1,Figur,Rolle,Genderneutral
Leute von Stand,Leute,Undirected,,1,Figur,Rolle,Genderneutral
Die geringen Leute des Ortes,Pöbel,Undirected,,1,Figur,Rolle,Genderneutral
Ein Dienstmädchen,Dienstmädchen,Undirected,,1,Figur,Rolle,Frau
Ein Dienstmädchen,Jungfer,Undirected,,1,Figur,Rolle,Frau
Leonore,Freundin,Undirected,,1,Figur,Rolle,Frau
Werther,Tor,Undirected,,1,Figur,Rolle,Mann
V.,Junge,Undirected,,1,Figur,Rolle,Mann
Der Amtmann,Mann,Undirected,,1,Figur,Rolle,Mann
Der Amtmann,Mensch,Undirected,,1,Figur,Rolle,Genderneutral
Kinder des Amtmanns,Kind,Undirected,,1,Figur,Rolle,Genderneutral
Älteste Tpchter des Amtmanns,Tochter,Undirected,,1,Figur,Rolle,Frau
Frau des Amtmanns,Frau,Undirected,,1,Figur,Rolle,Frau
Der Leser,Leser,Undirected,,1,Figur,Rolle,Mann
Eine Wirtin,Wirtin,Undirected,,1,Figur,Rolle,Frau
Philipps,Knabe,Undirected,,1,Figur,Rolle,Mann
Hans,Kind,Undirected,,1,Figur,Rolle,Genderneutral
Philipps,Kind,Undirected,,1,Figur,Rolle,Genderneutral
Eine Frau,junge Frau,Undirected,,1,Figur,Rolle,Frau
Hans,Kleines,Undirected,,1,Figur,Rolle,Genderneutral
Eine Frau,Mutter,Undirected,,1,Figur,Rolle,Frau
Hans,Halbjähriges,Undirected,,1,Figur,Rolle,Genderneutral
Hans,Jüngstes,Undirected,,1,Figur,Rolle,Genderneutral
Der Älteste Sohn einer Frau,Vogel,Undirected,,1,Figur,Rolle,Genderneutral
Der Älteste Sohn einer Frau,Ältester,Undirected,,1,Figur,Rolle,Mann
Der Älteste Sohn einer Frau,Großer,Undirected,,1,Figur,Rolle,Mann
Philipps,Zweiter,Undirected,,1,Figur,Rolle,Mann
Eine Frau,Weib,Undirected,,1,Figur,Rolle,Frau
Eine Frau,Tochter,Undirected,,1,Figur,Rolle,Frau
Wilhelm,Schatz,Undirected,,1,Figur,Rolle,Genderneutral
Eine Frau,Geschöpf,Undirected,,1,Figur,Rolle,Genderneutral
Ein Bauernbursche,Bursche,Undirected,,1,Figur,Rolle,Mann
Ein Bauernbursche,Leute,Undirected,,1,Figur,Rolle,Genderneutral
Eine Witwe,Witwe,Undirected,,1,Figur,Rolle,Frau
Ein Bauernbursche,Mensch,Undirected,,1,Figur,Rolle,Genderneutral
Ein Bauernbursche,Liebhaber,Undirected,,1,Figur,Rolle,Mann
Wilhelm,Gelehrter,Undirected,,1,Figur,Rolle,Mann
Lotte,Geschöpf,Undirected,,1,Figur,Rolle,Genderneutral
Werther,kein Historienschreiber,Undirected,,1,Figur,Rolle,Mann
