Source,Target,Type,Label,Weight,source type,target type,gender
Freund,Freund,Undirected,,1,Figur,Genderrolle,Mann
Despoten,Despoten,Undirected,,1,Figur,Genderrolle,Genderneutral
Italiäner,Italiäner,Undirected,,1,Figur,Genderrolle,Genderneutral
Carraccis,Caraccis,Undirected,,1,Figur,Genderrolle,Genderneutral
Madonna di Foligno,Madonna di Foligno,Undirected,,1,Figur,Genderrolle,Frau
Raffael,Raffael,Undirected,,1,Figur,Genderrolle,Mann
Perugin,Perugin,Undirected,,1,Figur,Genderrolle,Mann
Johann Bellin,Johann Bellin,Undirected,,1,Figur,Genderrolle,Mann
Meister,Meister,Undirected,,1,Figur,Genderrolle,Mann
Julio Romano,Julio Romano,Undirected,,1,Figur,Genderrolle,Mann
Franzosen,Franzosen,Undirected,,1,Figur,Genderrolle,Genderneutral
Fortuna,Fortuna,Undirected,,1,Figur,Genderrolle,Frau
Guido,Guido,Undirected,,1,Figur,Genderrolle,Mann
Rinaldo,Rinaldo,Undirected,,1,Figur,Genderrolle,Mann
Armide,Armide,Undirected,,1,Figur,Genderrolle,Frau
Areneas,Areneas,Undirected,,1,Figur,Genderrolle,Mann
Anchises,Anchises,Undirected,,1,Figur,Genderrolle,Mann
Domenichino,Domenichino,Undirected,,1,Figur,Genderrolle,Mann
Katharina,Katharina,Undirected,,1,Figur,Genderrolle,Frau
Correggio,Correggio,Undirected,,1,Figur,Genderrolle,Mann
Visconti,Visconti,Undirected,,1,Figur,Genderrolle,Mann
Liebhaber,Liebhaber,Undirected,,1,Figur,Genderrolle,Mann
Correggio,Künstler,Undirected,,1,Figur,Genderrolle,Mann
Raffael,Meister,Undirected,,1,Figur,Genderrolle,Mann
Madonna,Madonna,Undirected,,1,Figur,Genderrolle,Frau
Carraccis,Carraccis,Undirected,,1,Figur,Genderrolle,Genderneutral
Guido,Maler,Undirected,,1,Figur,Genderrolle,Mann
Domenichino,Maler,Undirected,,1,Figur,Genderrolle,Mann
Correggio,Maler,Undirected,,1,Figur,Genderrolle,Mann
Julio Romano,Maler,Undirected,,1,Figur,Genderrolle,Mann
Andrea del Sarto,Maler,Undirected,,1,Figur,Genderrolle,Mann
Correggio,Figuren,Undirected,,1,Figur,Genderrolle,Genderneutral
Julio Romano,Figuren,Undirected,,1,Figur,Genderrolle,Genderneutral
Andrea del Sarto,Figuren,Undirected,,1,Figur,Genderrolle,Genderneutral
Mensch,Mensch,Undirected,,1,Figur,Genderrolle,Genderneutral
Fra Bartholomeo,Meister,Undirected,,1,Figur,Genderrolle,Mann
Marcus,Marcus,Undirected,,1,Figur,Genderrolle,Mann
Christus,Christus,Undirected,,1,Figur,Genderrolle,Mann
Evangelisten,Evangelisten,Undirected,,1,Figur,Genderrolle,Genderneutral
Marcus,Gestalt,Undirected,,1,Figur,Genderrolle,Genderneutral
Fra Bartholomeo,Fra Bartholomeo,Undirected,,1,Figur,Genderrolle,Mann
Bellin,Bellin,Undirected,,1,Figur,Genderrolle,Mann
Feind,Feind,Undirected,,1,Figur,Genderrolle,Mann
Prophet,Prophet,Undirected,,1,Figur,Genderrolle,Mann
Mantegna,Mantegna,Undirected,,1,Figur,Genderrolle,Mann
Zuschauer,Zuschauer,Undirected,,1,Figur,Genderrolle,Mann
Merkur,Merkur,Undirected,,1,Figur,Genderrolle,Mann
Apollo,Apollo,Undirected,,1,Figur,Genderrolle,Mann
Vulkan,Vulkan,Undirected,,1,Figur,Genderrolle,Mann
Musen,Musen,Undirected,,1,Figur,Genderrolle,Frau
Mars,Gott,Undirected,,1,Figur,Genderrolle,Mann
Venus,Venus,Undirected,,1,Figur,Genderrolle,Frau
Amor,Amor,Undirected,,1,Figur,Genderrolle,Mann
Mars,Mars,Undirected,,1,Figur,Genderrolle,Mann
Mantegna,Maler,Undirected,,1,Figur,Genderrolle,Mann
Muse,Muse,Undirected,,1,Figur,Genderrolle,Frau
Gesellschafter,Gesellschafter,Undirected,,1,Figur,Genderrolle,Mann
Frauen,Frauen,Undirected,,1,Figur,Genderrolle,Frau
Engel,Engel,Undirected,,1,Figur,Genderrolle,Genderneutral
Wesen,Wesen,Undirected,,1,Figur,Genderrolle,Genderneutral
Priesterinnen,Hauptperson,Undirected,,1,Figur,Genderrolle,Genderneutral
Wesen,Ignorantia,Undirected,,1,Figur,Genderrolle,Frau
Wesen,Ingratitudo,Undirected,,1,Figur,Genderrolle,Mann
Wesen,Insertia,Undirected,,1,Figur,Genderrolle,Frau
Geister,Geister,Undirected,,1,Figur,Genderrolle,Genderneutral
Kind,Kind,Undirected,,1,Figur,Genderrolle,Genderneutral
Kind,Gewürm,Undirected,,1,Figur,Genderrolle,Genderneutral
Kind,Fledermaus,Undirected,,1,Figur,Genderrolle,Genderneutral
Dante,Maler,Undirected,,1,Figur,Genderrolle,Mann
Maler,Maler,Undirected,,1,Figur,Genderrolle,Mann
Madonna della Vittoria,Madonna della Vittoria,Undirected,,1,Figur,Genderrolle,Frau
Mantegna,Meister,Undirected,,1,Figur,Genderrolle,Mann
Bellin,Meister,Undirected,,1,Figur,Genderrolle,Mann
Fra Bartholomeo,Maler,Undirected,,1,Figur,Genderrolle,Mann
Fra Bartholomeo,Künstler,Undirected,,1,Figur,Genderrolle,Mann
Tizian,Tizian,Undirected,,1,Figur,Genderrolle,Mann
Männer,Männer,Undirected,,1,Figur,Genderrolle,Mann
Räuber,Räuber,Undirected,,1,Figur,Genderrolle,Mann
Männer,Märtyrer,Undirected,,1,Figur,Genderrolle,Mann
Menschen,Menschen,Undirected,,1,Figur,Genderrolle,Genderneutral
Holbein,Holbein,Undirected,,1,Figur,Genderrolle,Mann
Leonardo,Leonardo,Undirected,,1,Figur,Genderrolle,Mann
Tizian,Künstler,Undirected,,1,Figur,Genderrolle,Mann
Madonnen,Madonnen,Undirected,,1,Figur,Genderrolle,Frau
Paul Veronese,Paul Veronese,Undirected,,1,Figur,Genderrolle,Mann
Pilger,Pilger,Undirected,,1,Figur,Genderrolle,Mann
Künstler,Künstler,Undirected,,1,Figur,Genderrolle,Mann
Tizian,Maler,Undirected,,1,Figur,Genderrolle,Mann
Christus,Mensch,Undirected,,1,Figur,Genderrolle,Genderneutral
Andrea del Sarto,Andrea del Sarto,Undirected,,1,Figur,Genderrolle,Mann
Joseph,Joseph,Undirected,,1,Figur,Genderrolle,Mann
Person,Person,Undirected,,1,Figur,Genderrolle,Mann
Palma Vecchio,Palma Vecchio,Undirected,,1,Figur,Genderrolle,Mann
Hirt,Hirt,Undirected,,1,Figur,Genderrolle,Mann
Christus,Christkind,Undirected,,1,Figur,Genderrolle,Genderneutral
Julio Romano,Künstler,Undirected,,1,Figur,Genderrolle,Mann
Rochus,Rochus,Undirected,,1,Figur,Genderrolle,Mann
Raffael,Lehrer,Undirected,,1,Figur,Genderrolle,Mann
Julio Romano,Schüler,Undirected,,1,Figur,Genderrolle,Mann
Familie,Familie,Undirected,,1,Figur,Genderrolle,Genderneutral
Urheber,Urheber,Undirected,,1,Figur,Genderrolle,Mann
Raffael,Schüler,Undirected,,1,Figur,Genderrolle,Mann
Gelehrte,Gelehrte,Undirected,,1,Figur,Genderrolle,Genderneutral
Urteilende,Urteilende,Undirected,,1,Figur,Genderrolle,Genderneutral
Placidus,Placidus,Undirected,,1,Figur,Genderrolle,Mann
Flavia,Flavia,Undirected,,1,Figur,Genderrolle,Frau
Sebastian,Sebastian,Undirected,,1,Figur,Genderrolle,Mann
Magdalena,Magdalena,Undirected,,1,Figur,Genderrolle,Frau
Hieonimus,Hieronimus,Undirected,,1,Figur,Genderrolle,Mann
Georgio,Georgio,Undirected,,1,Figur,Genderrolle,Mann
Dichter,Dichter,Undirected,,1,Figur,Genderrolle,Genderneutral
Musiker,Musiker,Undirected,,1,Figur,Genderrolle,Mann
Gestalten,Gestalten,Undirected,,1,Figur,Genderrolle,Genderneutral
Gestalt,Alte,Undirected,,1,Figur,Genderrolle,Frau
Gestalt,Hirt,Undirected,,1,Figur,Genderrolle,Mann
Personen,Personen,Undirected,,1,Figur,Genderrolle,Genderneutral
Maria,Maria,Undirected,,1,Figur,Genderrolle,Frau
Johannes,Gestalt,Undirected,,1,Figur,Genderrolle,Genderneutral
Mutter,Mutter,Undirected,,1,Figur,Genderrolle,Frau
Gott,Gott,Undirected,,1,Figur,Genderrolle,Genderneutral
Mutter,Sonne,Undirected,,1,Figur,Genderrolle,Frau
Johannes,Täufer,Undirected,,1,Figur,Genderrolle,Mann
Franziskus,Franziskus,Undirected,,1,Figur,Genderrolle,Mann
Correggio,Meister,Undirected,,1,Figur,Genderrolle,Mann
Christkind,Christkind,Undirected,,1,Figur,Genderrolle,Genderneutral
Figur,Tod,Undirected,,1,Figur,Genderrolle,Genderneutral
Figuren,Figürchen,Undirected,,1,Figur,Genderrolle,Genderneutral
Figuren,Figuren,Undirected,,1,Figur,Genderrolle,Genderneutral
Christus,Leiche,Undirected,,1,Figur,Genderrolle,Genderneutral
Personen,Klagende,Undirected,,1,Figur,Genderrolle,Genderneutral
Christus,Erlöser,Undirected,,1,Figur,Genderrolle,Mann
Vater,Vater,Undirected,,1,Figur,Genderrolle,Mann
Knabe,Knabe,Undirected,,1,Figur,Genderrolle,Mann
Sohn,Sohn,Undirected,,1,Figur,Genderrolle,Mann
Betrachter,Betrachter,Undirected,,1,Figur,Genderrolle,Mann
Gestalt,Gestalt,Undirected,,1,Figur,Genderrolle,Genderneutral
Unthier,Unthier,Undirected,,1,Figur,Genderrolle,Genderneutral
Unthier,Unwesen,Undirected,,1,Figur,Genderrolle,Genderneutral
Unthier,Wesen,Undirected,,1,Figur,Genderrolle,Genderneutral
Kenner,Kenner,Undirected,,1,Figur,Genderrolle,Genderneutral
Hieronymus,Hieronymus,Undirected,,1,Figur,Genderrolle,Mann
Magdalena,Schmeichlerin,Undirected,,1,Figur,Genderrolle,Frau
Magdalena,Weib,Undirected,,1,Figur,Genderrolle,Frau
Beschauer,Beschauer,Undirected,,1,Figur,Genderrolle,Mann
Kunstliebhaber,Kunstliebhaber,Undirected,,1,Figur,Genderrolle,Genderneutral
Maler,Heldenkünstler,Undirected,,1,Figur,Genderrolle,Mann
Alegri,Heldenkünstler,Undirected,,1,Figur,Genderrolle,Mann
Leonardo,Dichter,Undirected,,1,Figur,Genderrolle,Mann
Figur,Figur,Undirected,,1,Figur,Genderrolle,Genderneutral
