Id,Label,type,gender
Michael Kohlhaas,Michael Kohlhaas,Figur,
Junker Wenzel von Tronka,Junker Wenzel von Tronka,Figur,
Zöllner,Zöllner,Rolle,Mann
Roßhändler,Roßhändler,Rolle,Mann
Schloßvogt,Schloßvogt,Rolle,Mann
Lisbeth,Lisbeth,Figur,
Schlagwärter,Schlagwärter,Rolle,Mann
Burgvogt,Burgvogt,Rolle,Mann
Knecht,Knecht,Rolle,Mann
Freunde,Freunde,Rolle,Genderneutral
Ritter,Ritter,Rolle,Mann
Troß,Troß,Rolle,Genderneutral
Verwalter,Verwalter,Rolle,Mann
König Arthur,König Arthur,Figur,
Haufen,Haufen,Rolle,Genderneutral
Rat,Rat,Rolle,Genderneutral
Junge,Junge,Rolle,Mann
Leute,Leute,Rolle,Genderneutral
Jungherren,Jungherren,Rolle,Mann
Günther,Günther,Figur,
Abdecker,Abdecker,Rolle,Mann
Reisende,Reisende,Rolle,Genderneutral
Mitbürger,Mitbürger,Figur,
Kinder,Kinder,Rolle,Genderneutral
Mensch,Mensch,Rolle,Genderneutral
Fremde,Fremde,Rolle,Genderneutral
Gott,Gott,Figur,
Kind,Kind,Rolle,Genderneutral
Gäste,Gäste,Rolle,Genderneutral
Herren,Herren,Rolle,Mann
Magd,Magd,Rolle,Frau
Torwächter,Torwächter,Rolle,Mann
Kaiser,Kaiser,Rolle,Mann
Jäger,Jäger,Rolle,Mann
Rechtsgelehrter,Rechtsgelehrter,Rolle,Mann
Männer,Männer,Rolle,Mann
Advokat,Advokat,Rolle,Mann
Junker Hans von Tronka,Junker Hans von Tronka,Figur,
Hinz von Tronka,Hinz von Tronka,Figur,
Heinrich von Geusau,Heinrich von Geusau,Figur,
Kranke,Kranke,Rolle,Genderneutral
Arme,Arme,Rolle,Genderneutral
Bote,Bote,Rolle,Mann
Arzt,Arzt,Rolle,Mann
Kurfürst von Brandenburg,Kurfürst von Brandenburg,Figur,
Kurfürst von Sachsen,Kurfürst von Sachsen,Figur,
Anhang,Anhang,Rolle,Genderneutral
Gerichtsherr,Gerichtsherr,Rolle,Mann
Kurfürst,Kurfürst,Rolle,Mann
Graf Kallheim,Graf Kallheim,Figur,
Jungherr,Jungherr,Rolle,Mann
Bekannter,Bekannter,Rolle,Mann
Nachbar,Nachbar,Figur,
Knabe,Knabe,Rolle,Mann
Sternbald,Sternbald,Figur,
Pole,Pole,Rolle,Mann
Türke,Türke,Rolle,Mann
Muhme,Muhme,Rolle,Frau
Frau,Frau,Rolle,Frau
Mann,Mann,Rolle,Mann
Kastellan,Kastellan,Rolle,Mann
Wundarzt,Wundarzt,Rolle,Mann
Geistlicher,Geistlicher,Rolle,Mann
Feinde,Feinde,Rolle,Genderneutral
Prinz Friedrich von Meißen,Prinz Friedrich von Meißen,Figur,
Knechte,Knechte,Rolle,Mann
Zollwärter,Zollwärter,Rolle,Mann
Brüder,Brüder,Rolle,Mann
Doktor,Doktor,Rolle,Mann
Weib,Weib,Rolle,Frau
Haushälterin,Haushälterin,Rolle,Frau
Umstehende,Umstehende,Rolle,Genderneutral
Antonia von Tronka,Antonia von Tronka,Figur,
Bewohner,Bewohner,Rolle,Mann
Verwandte,Verwandte,Rolle,Genderneutral
Waldmann,Waldmann,Rolle,Mann
Fußvolk,Fußvolk,Rolle,Genderneutral
Stiftsvogt,Stiftsvogt,Rolle,Mann
Gekreuzigter,Gekreuzigter,Figur,
Jungfrauen,Jungfrauen,Rolle,Frau
Christen,Christen,Rolle,Genderneutral
Gesindel,Gesindel,Rolle,Genderneutral
Einwohner,Einwohner,Rolle,Genderneutral
Gerstenberg,Gerstenberg,Figur,
Landvogt,Landvogt,Rolle,Mann
Wache,Wache,Rolle,Genderneutral
Volk,Volk,Rolle,Genderneutral
Gervasius,Gervasius,Figur,
Jenkens,Jenkens,Figur,
Eilbote,Eilbote,Figur,
Präsident,Präsident,Rolle,Mann
Ärzte,Ärzte,Figur,
Graf von Gerschau,Graf von Gerschau,Figur,
Landknechte,Landknechte,Figur,
Heerhaufen,Heerhaufen,Figur,
Kundschafter,Kundschafter,Figur,
Magistrat,Magistrat,Figur,
Bürgerschaft,Bürgerschaft,Figur,
Martin Luther,Martin Luther,Figur,
Herse,Herse,Figur,
Menschen,Menschen,Figur,
Wilde,Wilde,Rolle,Genderneutral
Juden,Juden,Figur,
Mutter,Mutter,Figur,
Famulus,Famulus,Figur,
Heiland,Heiland,Figur,
Prinz Christiern von Meißen,Prinz Christiern von Meißen,Figur,
Graf Wrede,Graf Wrede,Figur,
Staatsrat,Staatsrat,Rolle,Mann
Amtmann,Amtmann,Figur,
Thomas,Thomas,Figur,
Gefole,Gefole,Figur,
Troßknecht,Troßknecht,Rolle,Mann
Menschenmenge,Menschenmenge,Figur,
Volksbedrücker,Volksbedrücker,Rolle,Mann
Kriegshaufen,Kriegshaufen,Figur,
Landsknechte,Landsknechte,Figur,
Gefolge,Gefolge,Rolle,Genderneutral
Familie,Familie,Figur,
Pächter,Pächter,Rolle,Mann
Schäfer,Schäfer,Rolle,Mann
Urheber,Urheber,Rolle,Mann
Erbherr,Erbherr,Figur,
Lehensherr,Lehensherr,Figur,
Eigner,Eigner,Figur,
Schweinehirt,Schweinehirt,Rolle,Mann
Gerichtsbote,Gerichtsbote,Figur,
Menge,Menge,Figur,
Peter,Peter,Figur,
Paul,Paul,Figur,
