Id,Label,type,gender
Vater Hoffmann,Vater Hoffmann,Figur,
Serapions-Brüder,Serapions-Brüder,Rolle,Mann
Herausgeber,Herausgeber,Figur,
Ludwig Tieck,Ludwig Tieck,Figur,
Freunde,Freunde,Figur,
Frauen,Frauen,Figur,
der Leser,der Leser,Figur,
Serapion,Serapion,Figur,
eine Geliebte,eine Geliebte,Figur,
ein Freund,ein Freund,Figur,
Lothar,Lothar,Figur,
Theodor,Theodor,Figur,
Ottmar,Ottmar,Figur,
Cyprian,Cyprian,Figur,
Tieck,Tieck,Figur,
Teufel,Teufel,Figur,
ein Gärtner,ein Gärtner,Figur,
Kinder,Kinder,Rolle,Genderneutral
ein Jurist,ein Jurist,Figur,
ein Klubmitglied,ein Klubmitglied,Figur,
Vorsteher,Vorsteher,Figur,
Stifter,Stifter,Figur,
ein König,ein König,Figur,
Minister,Minister,Figur,
Staatsräte,Staatsräte,Figur,
ein Minister,ein Minister,Figur,
Gesandte,Gesandte,Figur,
ein Dichter,ein Dichter,Figur,
ein Sänger,ein Sänger,Figur,
? Token 2826,? Token 2826,Figur,
Akziseeinnehmer,Akziseeinnehmer,Rolle,
ein Hauptmann,ein Hauptmann,Figur,
Kamaldulenser Mönche,Kamaldulenser Mönche,Figur,
Philister,Philister,Figur,
Philosophen,Philosophen,Figur,
Sebastian,Sebastian,Figur,
Ptolomäus,Ptolomäus,Figur,
Immanuel,Immanuel,Figur,
ein Kommissionsrat,ein Kommissionsrat,Figur,
der Mensch,der Mensch,Figur,
ein Mann,ein Mann,Figur,
Ambrosius von Kamaldoli,Ambrosius von Kamaldoli,Figur,
ein Bauer,ein Bauer,Figur,
Leute,Leute,Rolle,Genderneutral
Graf P.,Graf P.,Figur,
Kaiser Decius,Kaiser Decius,Figur,
ein Arzt,ein Arzt,Figur,
Heilige,Heilige,Figur,
Märtyrer,Märtyrer,Rolle,Mann
Fremde,Fremde,Figur,
heilige Serapions,heilige Serapions,Figur,
ein Abt Serapion,ein Abt Serapion,Figur,
ein Bischof Serapion,ein Bischof Serapion,Figur,
ein Mönch Serapion,ein Mönch Serapion,Figur,
Heraklides,Heraklides,Figur,
eine Jungfrau,eine Jungfrau,Figur,
Gott,Gott,Figur,
Abt Molanus,Abt Molanus,Figur,
Bauern,Bauern,Figur,
Jäger,Jäger,Figur,
Reisende,Reisende,Figur,
Spaziergänger,Spaziergänger,Figur,
heiliger Antonios,heiliger Antonios,Figur,
Widersachern,Widersachern,Figur,
ein Uhrmacher,ein Uhrmacher,Figur,
Ariost,Ariost,Figur,
Dante,Dante,Figur,
Petrarch,Petrarch,Figur,
Kirchenlehrer Evagrius,Kirchenlehrer Evagrius,Figur,
Bruder Hilarion,Bruder Hilarion,Figur,
Ophelia,Ophelia,Figur,
ein Gelehrter,ein Gelehrter,Figur,
ein Krieger,ein Krieger,Figur,
ein Betrachter,ein Betrachter,Figur,
ein Historiker,ein Historiker,Figur,
Ungeheuer,Ungeheuer,Figur,
heiliger Athanasius,heiliger Athanasius,Figur,
Antonius,Antonius,Figur,
Paulus,Paulus,Figur,
Mönche,Mönche,Figur,
Einsiedler,Einsiedler,Rolle,Mann
Arzt Pinel,Arzt Pinel,Figur,
Rat Krespel,Rat Krespel,Figur,
ein Fürst,ein Fürst,Figur,
ein Baumeister,ein Baumeister,Figur,
Gesellen,Gesellen,Rolle,Genderneutral
junge Männer,junge Männer,Rolle,Mann
Baumeister,Baumeister,Rolle,Mann
Professor M.,Professor M.,Figur,
Bekannte,Bekannte,Figur,
Handlanger,Handlanger,Figur,
Töchter,Töchter,Figur,
Frauen der Baumeister,Frauen der Baumeister,Figur,
Stadtmusikanten,Stadtmusikanten,Figur,
eine Hausfrau,eine Hausfrau,Figur,
ein Komponist,ein Komponist,Figur,
eine Sängerin,eine Sängerin,Figur,
Tochter Professor M.,Tochter Professor M.,Figur,
Kinder Professor M.,Kinder Professor M.,Figur,
Nichte Professor,Nichte Professor,Figur,
Antonie,Antonie,Figur,
Familie Amati,Familie Amati,Figur,
Kenner,Kenner,Figur,
ein Violinenmeister,ein Violinenmeister,Figur,
Haushälterin,Haushälterin,Figur,
Nachbarn,Nachbarn,Figur,
ein Mädchen,ein Mädchen,Figur,
ein junger Mann,ein junger Mann,Figur,
Doktor Bartolo,Doktor Bartolo,Figur,
Giuseppe Tartini,Giuseppe Tartini,Figur,
Sänger,Sänger,Figur,
die Italiener,die Italiener,Figur,
die Deutschen,die Deutschen,Figur,
Leonardo Leo,Leonardo Leo,Figur,
ein Postillion,ein Postillion,Figur,
Menschen,Menschen,Rolle,Genderneutral
ein Choral,ein Choral,Figur,
Trauermänner,Trauermänner,Figur,
eine Haushälterin,eine Haushälterin,Figur,
ein Richter,ein Richter,Figur,
Angela,Angela,Figur,
Abbates,Abbates,Figur,
Maestros,Maestros,Figur,
Akademikos,Akademikos,Figur,
ein Maestro,ein Maestro,Figur,
ein Komponist B.,ein Komponist B.,Figur,
Doktor R.,Doktor R.,Figur,
Komponist B.,Komponist B.,Figur,
Volk,Volk,Figur,
Levin,Levin,Figur,
ein Abbate,ein Abbate,Figur,
eine Frau,eine Frau,Figur,
ein Reiter,ein Reiter,Figur,
Eduard,Eduard,Figur,
Herr Tarone,Herr Tarone,Figur,
Vater,Vater,Rolle,Mann
Advokat,Advokat,Rolle,Mann
Referendar,Referendar,Rolle,Mann
Assessor,Assessor,Rolle,Mann
Musiker,Musiker,Rolle,Mann
Zeichner,Zeichner,Rolle,Mann
Schriftsteller,Schriftsteller,Rolle,Mann
Herrn Verleger,Herrn Verleger,Rolle,Mann
Meister,Meister,Rolle,Mann
Gesellschaft,Gesellschaft,Rolle,Genderneutral
Leser,Leser,Rolle,Mann
Einsiedler Serapion,Einsiedler Serapion,Rolle,Mann
Geliebte,Geliebte,Rolle,Frau
Freund,Freund,Rolle,Mann
Teufelchen,Teufelchen,Rolle,Mann
Gärtner,Gärtner,Rolle,Mann
Mitglieder,Mitglieder,Rolle,Genderneutral
Weiber,Weiber,Rolle,Frau
Jurist,Jurist,Rolle,Mann
Personen,Personen,Rolle,Genderneutral
Klubist,Klubist,Rolle,Mann
Schismatiker,Schismatiker,Rolle,Mann
König,König,Rolle,Mann
Gesandtschaft,Gesandtschaft,Rolle,Genderneutral
Staatsrat,Staatsrat,Rolle,Genderneutral
Kardinal,Kardinal,Rolle,Mann
Dichter,Dichter,Rolle,Mann
die Großen des Reiches,die Großen des Reiches,Rolle,Mann
Offizianten,Offizianten,Rolle,Mann
Hauptmann,Hauptmann,Rolle,Mann
Posthalter,Posthalter,Rolle,Mann
Gevatter,Gevatter,Rolle,Mann
Einnehmer,Einnehmer,Rolle,Mann
Mitglied,Mitglied,Rolle,Genderneutral
Sebstian,Sebstian,Rolle,Mann
Figur,Figur,Rolle,Genderneutral
Professor,Professor,Rolle,Mann
Schiedsrichter,Schiedsrichter,Rolle,Mann
Kommissionsrat,Kommissionsrat,Rolle,Mann
Cyprianus,Cyprianus,Rolle,Mann
keine Philister,keine Philister,Rolle,Mann
Mensch,Mensch,Rolle,Genderneutral
Sonntagskind,Sonntagskind,Rolle,Genderneutral
Mann,Mann,Rolle,Mann
Anachoret,Anachoret,Rolle,Mann
Mönch,Mönch,Rolle,Mann
Bauer,Bauer,Rolle,Mann
Herr,Herr,Rolle,Mann
Priester Serapion,Priester Serapion,Rolle,Mann
Doktor,Doktor,Rolle,Mann
Gesellschafter,Gesellschafter,Rolle,Mann
Neffe,Neffe,Rolle,Mann
Unglücklicher,Unglücklicher,Rolle,Mann
Arzt,Arzt,Rolle,Mann
Psychologe,Psychologe,Rolle,Mann
Laie,Laie,Rolle,Mann
Doktor S.,Doktor S.,Rolle,Mann
Männer,Männer,Rolle,Mann
Abt Serapion,Abt Serapion,Rolle,Mann
Bischof Serapion,Bischof Serapion,Rolle,Mann
Mönch Serapion,Mönch Serapion,Rolle,Mann
Jungfrau,Jungfrau,Rolle,Frau
Heraklid,Heraklid,Rolle,Mann
Gelehrter,Gelehrter,Rolle,Mann
Nachbar,Nachbar,Rolle,Mann
heiliger Antonius,heiliger Antonius,Rolle,Mann
Verrückter,Verrückter,Rolle,Mann
Märtyrer Serapion,Märtyrer Serapion,Rolle,Mann
Uhrmacher,Uhrmacher,Rolle,Mann
Tor,Tor,Rolle,Mann
Widerscher,Widerscher,Rolle,Mann
Anachoreten Serapion,Anachoreten Serapion,Rolle,Mann
Bruder,Bruder,Rolle,Mann
Ophelie,Ophelie,Rolle,Frau
Krieger,Krieger,Rolle,Mann
Betrachter,Betrachter,Rolle,Mann
Historiker,Historiker,Rolle,Mann
heiliger Mann,heiliger Mann,Rolle,Mann
Angeklagte,Angeklagte,Rolle,Mann
Gestalt,Gestalt,Rolle,Genderneutral
Gäste,Gäste,Rolle,Genderneutral
Menn,Menn,Rolle,Mann
Krespel,Krespel,Rolle,Mann
Diplomatiker,Diplomatiker,Rolle,Mann
Fürst,Fürst,Rolle,Mann
Bursche,Bursche,Rolle,Mann
Arbeiter,Arbeiter,Rolle,Mann
Manne,Manne,Rolle,Mann
Maurerburschen,Maurerburschen,Rolle,Mann
Tischlerjungen,Tischlerjungen,Rolle,Mann
Meisterfrauen,Meisterfrauen,Rolle,Frau
Volksfreund,Volksfreund,Rolle,Mann
Hausfrau,Hausfrau,Rolle,Frau
Komponist,Komponist,Rolle,Mann
Satan,Satan,Rolle,Mann
Engel,Engel,Rolle,Genderneutral
Klan,Klan,Rolle,Genderneutral
Ton,Ton,Rolle,Genderneutral
Sternbild,Sternbild,Rolle,Genderneutral
Sängerin,Sängerin,Rolle,Frau
Mädchen,Mädchen,Rolle,Frau
Rat,Rat,Rolle,Mann
Nichte,Nichte,Rolle,Frau
Amati,Amati,Rolle,Genderneutral
Kind,Kind,Rolle,Genderneutral
Antonien,Antonien,Rolle,Frau
Frauenzimmer,Frauenzimmer,Rolle,Frau
Unbekannte,Unbekannte,Rolle,Frau
Bräutigam,Bräutigam,Rolle,Mann
Herrliche,Herrliche,Rolle,Frau
Königin,Königin,Rolle,Frau
Tartini,Tartini,Rolle,Mann
Magnetiseur,Magnetiseur,Rolle,Mann
Herr Rat,Herr Rat,Rolle,Mann
Herr Studiosus,Herr Studiosus,Rolle,Mann
Italiener,Italiener,Rolle,Genderneutral
Deutsche,Deutsche,Rolle,Genderneutral
Liebwertester,Liebwertester,Rolle,Frau
Amoroso,Amoroso,Rolle,Mann
Abenteuerer,Abenteuerer,Rolle,Mann
Postillion,Postillion,Rolle,Mann
Choral,Choral,Rolle,Genderneutral
Bedienter,Bedienter,Rolle,Mann
Söhnchen,Söhnchen,Rolle,Mann
Bösewicht,Bösewicht,Rolle,Mann
Bester,Bester,Rolle,Mann
Justizperson,Justizperson,Rolle,Mann
Richter,Richter,Rolle,Mann
Gott der Vater,Gott der Vater,Rolle,Mann
Gott der Sohn,Gott der Sohn,Rolle,Mann
Signora,Signora,Rolle,Frau
Frau,Frau,Rolle,Frau
Liebhaber,Liebhaber,Rolle,Mann
bestia tedesca,bestia tedesca,Rolle,Genderneutral
Gattin,Gattin,Rolle,Frau
Töchterchen,Töchterchen,Rolle,Frau
Marito,Marito,Rolle,Mann
Padre,Padre,Rolle,Mann
Maestro,Maestro,Rolle,Mann
Prima Donna,Prima Donna,Rolle,Frau
Mutter,Mutter,Rolle,Frau
Krespels Frau,Krespels Frau,Rolle,Frau
B.,B.,Rolle,Mann
Klaviemeister,Klaviemeister,Rolle,Mann
Braut,Braut,Rolle,Frau
Schwärmer,Schwärmer,Rolle,Mann
Instrumentenmacher,Instrumentenmacher,Rolle,Mann
Geisterseher,Geisterseher,Rolle,Mann
Toter,Toter,Rolle,Mann
Gemüt,Gemüt,Rolle,Genderneutral
Charakter,Charakter,Rolle,Genderneutral
Heiliger,Heiliger,Rolle,Mann
Schutzpatron,Schutzpatron,Rolle,Mann
Brüder,Brüder,Rolle,Mann
Gemüter,Gemüter,Rolle,Genderneutral
Poeten,Poeten,Rolle,Mann
Abbate,Abbate,Rolle,Mann
Musikdirektor,Musikdirektor,Rolle,Mann
Signore,Signore,Rolle,Frau
Chitarristin,Chitarristin,Rolle,Frau
Wirt,Wirt,Rolle,Mann
Reiter,Reiter,Rolle,Mann
Knabe,Knabe,Rolle,Mann
Organisten,Organisten,Rolle,Mann
Rechenmeister,Rechenmeister,Rolle,Mann
E.T.A. Hoffmann,E.T.A. Hoffmann,Figur,
