Source,Target,Type,Label,Weight,source type,target type,gender
Chüeri Syfrig,Mädchen,Undirected,,1,Figur,Genderrolle,Frau
Chäpper Hediger,Schneidermeister,Undirected,,1,Figur,Genderrolle,Mann
Chäpper Hediger,Hediger,Undirected,,1,Figur,Genderrolle,Mann
die Handwerksmänner,Handwerksmann,Undirected,,1,Figur,Genderrolle,Mann
die Schneider,Schneider,Undirected,,1,Figur,Genderrolle,Mann
Chäpper Hediger,Meister Hediger,Undirected,,1,Figur,Genderrolle,Mann
Chäpper Hediger,Siebenmännergesellschaft,Undirected,,1,Figur,Genderrolle,Genderneutral
ein Schneider,ein Schneider,Undirected,,1,Figur,Genderrolle,Mann
Republikaner,Republikaner,Undirected,,1,Figur,Genderrolle,Mann
Johannes Müller,Johannes Müller,Undirected,,1,Figur,Genderrolle,Mann
Christoph Kolumbus,Kolumbus,Undirected,,1,Figur,Genderrolle,Mann
Huldrych Zwingli,Zwingli,Undirected,,1,Figur,Genderrolle,Mann
Ulrich von Hutten,Hutten,Undirected,,1,Figur,Genderrolle,Mann
George Washington,Washington,Undirected,,1,Figur,Genderrolle,Mann
Maximilien de Robespierre,Robespierre,Undirected,,1,Figur,Genderrolle,Mann
Fortschrittsleute,Fortschrittsleute,Undirected,,1,Figur,Genderrolle,Genderneutral
die Aristokraten,Aristokraten,Undirected,,1,Figur,Genderrolle,Mann
die Jesuiten,Jesuiten,Undirected,,1,Figur,Genderrolle,Mann
Bürger,Bürger,Undirected,,1,Figur,Genderrolle,Mann
Chäpper Hediger,Meister,Undirected,,1,Figur,Genderrolle,Mann
Karl Hediger,Sohn,Undirected,,1,Figur,Genderrolle,Mann
Karl Hediger,Karl,Undirected,,1,Figur,Genderrolle,Mann
Karl Hediger,Beamter,Undirected,,1,Figur,Genderrolle,Mann
Chäpper Hediger,Vater,Undirected,,1,Figur,Genderrolle,Mann
Chäpper Hediger,der Alter,Undirected,,1,Figur,Genderrolle,Mann
Söhne Hedigers,Brüder,Undirected,,1,Figur,Genderrolle,Mann
ein Ehrenmann,Ehrenmanne,Undirected,,1,Figur,Genderrolle,Mann
die Scharfschützen,Scharfschützen,Undirected,,1,Figur,Genderrolle,Mann
Soldaten,Kerle,Undirected,,1,Figur,Genderrolle,Mann
Soldaten,Halbherren,Undirected,,1,Figur,Genderrolle,Mann
Karl Hediger,Junge,Undirected,,1,Figur,Genderrolle,Mann
Frau Hediger,Mutter,Undirected,,1,Figur,Genderrolle,Frau
Karl Hediger,Rekrut,Undirected,,1,Figur,Genderrolle,Mann
Daniel Frymann,Siebenmännergesellschaft,Undirected,,1,Figur,Genderrolle,Genderneutral
Ruedi Kuser,Siebenmännergesellschaft,Undirected,,1,Figur,Genderrolle,Genderneutral
Heinrich Bürgi,Siebenmännergesellschaft,Undirected,,1,Figur,Genderrolle,Genderneutral
Lienert Pfister,Siebenmännergesellschaft,Undirected,,1,Figur,Genderrolle,Genderneutral
Chäpper Hediger,Mann,Undirected,,1,Figur,Genderrolle,Mann
Zimmermeister Daniel Frymann,Zimmermeister Daniel Frymann,Undirected,,1,Figur,Genderrolle,Mann
Felix Erismann,Siebenmännergesellschaft,Undirected,,1,Figur,Genderrolle,Genderneutral
Zimmermeister Frymann,Frymann,Undirected,,1,Figur,Genderrolle,Mann
Frau Hediger,Frau,Undirected,,1,Figur,Genderrolle,Frau
Frau Hediger,Frau Hediger,Undirected,,1,Figur,Genderrolle,Frau
der Teufel,Teufel,Undirected,,1,Figur,Genderrolle,Mann
Vater Frau Hediger,Vater,Undirected,,1,Figur,Genderrolle,Mann
Brüder Frau Hediger,Brüder,Undirected,,1,Figur,Genderrolle,Mann
Frau Hediger,Büchsenmachergesell,Undirected,,1,Figur,Genderrolle,Mann
Frau Hediger,Büchsenschmiedin,Undirected,,1,Figur,Genderrolle,Frau
Frau Hediger,Kind,Undirected,,1,Figur,Genderrolle,Genderneutral
Chäpper Hediger,Schneider,Undirected,,1,Figur,Genderrolle,Mann
Zimmerleute,Zimmerleute,Undirected,,1,Figur,Genderrolle,Genderneutral
Steinmetze,Steinmetze,Undirected,,1,Figur,Genderrolle,Mann
Chüeri Syfrig,Schimmelköpfe,Undirected,,1,Figur,Genderrolle,Genderneutral
Hermine Frymann,Mädchen,Undirected,,1,Figur,Genderrolle,Frau
Karl Hediger,Jüngling,Undirected,,1,Figur,Genderrolle,Mann
Hermine Frymann,Frauenzimmer,Undirected,,1,Figur,Genderrolle,Frau
Karl Hediger,Mensch,Undirected,,1,Figur,Genderrolle,Genderneutral
Hermine Frymann,Hermine,Undirected,,1,Figur,Genderrolle,Frau
Hermine Frymann,Tonangeberin,Undirected,,1,Figur,Genderrolle,Frau
Hermine Frymann,Verführerin,Undirected,,1,Figur,Genderrolle,Frau
Kinder,Kindern,Undirected,,1,Figur,Genderrolle,Genderneutral
Polierer,Polierer,Undirected,,1,Figur,Genderrolle,Genderneutral
Karl Hediger,Herr,Undirected,,1,Figur,Genderrolle,Mann
Zimmermann Frymann,Vater,Undirected,,1,Figur,Genderrolle,Mann
Chäpper Hediger,Herr Vater,Undirected,,1,Figur,Genderrolle,Mann
Hermine Frymann,Tochter,Undirected,,1,Figur,Genderrolle,Frau
ein Kind,Kind,Undirected,,1,Figur,Genderrolle,Genderneutral
Eltern,Eltern,Undirected,,1,Figur,Genderrolle,Genderneutral
Hermine Frymann,Schöne,Undirected,,1,Figur,Genderrolle,Frau
Hermine Frymann,Wildfang,Undirected,,1,Figur,Genderrolle,Genderneutral
Hermine Frymann,Jungfrau,Undirected,,1,Figur,Genderrolle,Frau
Karl Hediger,Schlingel,Undirected,,1,Figur,Genderrolle,Genderneutral
Gott,Gott,Undirected,,1,Figur,Genderrolle,Genderneutral
Hermine Frymann,Frau,Undirected,,1,Figur,Genderrolle,Frau
Hermine Frymann,Fräulein,Undirected,,1,Figur,Genderrolle,Frau
Eidgenossen,Eidgenossen,Undirected,,1,Figur,Genderrolle,Mann
Standesherren,Standesherren,Undirected,,1,Figur,Genderrolle,Mann
Frau von Standesherren,Weiberl,Undirected,,1,Figur,Genderrolle,Frau
Priester,Machtvermieter,Undirected,,1,Figur,Genderrolle,Mann
Priester,Priester,Undirected,,1,Figur,Genderrolle,Mann
Priester,Pfaffen,Undirected,,1,Figur,Genderrolle,Mann
Standesherren,Herren,Undirected,,1,Figur,Genderrolle,Mann
Parteihäupte,Parteihäupte,Undirected,,1,Figur,Genderrolle,Genderneutral
Gastwirte,Gastwirte,Undirected,,1,Figur,Genderrolle,Mann
Verräter,Verräter,Undirected,,1,Figur,Genderrolle,Mann
Verräter,Subjekte,Undirected,,1,Figur,Genderrolle,Genderneutral
Zimmermann Frymann,Wohlredenste,Undirected,,1,Figur,Genderrolle,Mann
Zimmermann Frymann,Wohlhabendste,Undirected,,1,Figur,Genderrolle,Mann
Zimmermann Frymann,Frymann,Undirected,,1,Figur,Genderrolle,Mann
Zimmermann Frymann,Zimmermeister,Undirected,,1,Figur,Genderrolle,Mann
Zimmermann Frymann,Krösus,Undirected,,1,Figur,Genderrolle,Mann
Chäpper Hediger,Unbemittelste,Undirected,,1,Figur,Genderrolle,Mann
Chäpper Hediger,Schneide,Undirected,,1,Figur,Genderrolle,Mann
Kunden,Kunden,Undirected,,1,Figur,Genderrolle,Mann
Herr Kuser,Kuser,Undirected,,1,Figur,Genderrolle,Genderneutral
Herr Kuser,Silberschmied,Undirected,,1,Figur,Genderrolle,Mann
Herr Kuser,Mann von Geschmack,Undirected,,1,Figur,Genderrolle,Mann
Herr Syfrig,Syfrig,Undirected,,1,Figur,Genderrolle,Genderneutral
Herr Syfrig,Schmied,Undirected,,1,Figur,Genderrolle,Mann
Herr Bürgi,Bürgi,Undirected,,1,Figur,Genderrolle,Genderneutral
Herr Bürgi,Schreiner,Undirected,,1,Figur,Genderrolle,Mann
Gesellen,Gesellen,Undirected,,1,Figur,Genderrolle,Mann
Lehrburschen,Lehrburschen,Undirected,,1,Figur,Genderrolle,Mann
ein Mensch,Mensch,Undirected,,1,Figur,Genderrolle,Genderneutral
Brüder,Brüder,Undirected,,1,Figur,Genderrolle,Mann
Chüeri Syfrig,Propheten,Undirected,,1,Figur,Genderrolle,Mann
Herr Syfrig,Eisenschmied,Undirected,,1,Figur,Genderrolle,Mann
Herr Pfister,Pfister,Undirected,,1,Figur,Genderrolle,Genderneutral
Herr Pfister,Wirt,Undirected,,1,Figur,Genderrolle,Mann
Herr Erismann,Erismann,Undirected,,1,Figur,Genderrolle,Genderneutral
Herr Erismann,Wirt,Undirected,,1,Figur,Genderrolle,Mann
ein Käufer,Käufer,Undirected,,1,Figur,Genderrolle,Mann
Ruedi Kuser,Ruedi,Undirected,,1,Figur,Genderrolle,Mann
der Gewinner,Gewinner,Undirected,,1,Figur,Genderrolle,Mann
Heinrich Bürgi,Heinrich,Undirected,,1,Figur,Genderrolle,Mann
Lienert Pfister,Liener Pfister,Undirected,,1,Figur,Genderrolle,Mann
ein Bäuerlein,Bäuerlein,Undirected,,1,Figur,Genderrolle,Genderneutral
eine Frau Bäuerlein,Frau,Undirected,,1,Figur,Genderrolle,Frau
Chäpper Hediger,Chäpper,Undirected,,1,Figur,Genderrolle,Mann
Einzelbürger,Einzelbürger,Undirected,,1,Figur,Genderrolle,Mann
Frymann,Gast,Undirected,,1,Figur,Genderrolle,Genderneutral
Jude,Jude,Undirected,,1,Figur,Genderrolle,Mann
Völker,Völker,Undirected,,1,Figur,Genderrolle,Genderneutral
die Ägypter,Ägypter,Undirected,,1,Figur,Genderrolle,Genderneutral
die Griechen,Griechen,Undirected,,1,Figur,Genderrolle,Genderneutral
die Römer,Römer,Undirected,,1,Figur,Genderrolle,Genderneutral
Volk,Volk,Undirected,,1,Figur,Genderrolle,Genderneutral
Ruedi Kuser,Meister Silberschmied,Undirected,,1,Figur,Genderrolle,Mann
ein Künstler,Künstler,Undirected,,1,Figur,Genderrolle,Mann
Ruedi Kuser,Meister Kuser,Undirected,,1,Figur,Genderrolle,Mann
Chüeri Syfrig,Siebenmänner,Undirected,,1,Figur,Genderrolle,Mann
Söhne Hedigers,Buben,Undirected,,1,Figur,Genderrolle,Mann
Schwiegertöchter Hedigers,Weib,Undirected,,1,Figur,Genderrolle,Frau
Enkelkinder Hediger,Kind,Undirected,,1,Figur,Genderrolle,Genderneutral
zukünftiger Schwiegersöhn Frymann,Tochtermann,Undirected,,1,Figur,Genderrolle,Mann
zukünftiger Schwiegersöhn Frymann,Geschäftsmann,Undirected,,1,Figur,Genderrolle,Mann
Karl Hediger,Regierungsschreiber,Undirected,,1,Figur,Genderrolle,Mann
Karl Hediger,Schwäher,Undirected,,1,Figur,Genderrolle,Mann
Frymann,Gegenschwäher,Undirected,,1,Figur,Genderrolle,Mann
Karl Hediger,Söhne,Undirected,,1,Figur,Genderrolle,Mann
Karl Hediger,Bursche,Undirected,,1,Figur,Genderrolle,Mann
Söhne,Buben,Undirected,,1,Figur,Genderrolle,Mann
Söhne,Bürger,Undirected,,1,Figur,Genderrolle,MAnn
Teufel,Teufel,Undirected,,1,Figur,Genderrolle,Mann
Söhne,Schlingel,Undirected,,1,Figur,Genderrolle,MAnn
ein Sohn Hedigers,Verwaltungsbeamter,Undirected,,1,Figur,Genderrolle,Mann
Vorgesetzte,Vorgesetzte,Undirected,,1,Figur,Genderrolle,Genderneutral
eine Frau,Frauen,Undirected,,1,Figur,Genderrolle,Frau
Karl Hediger,Schnauer,Undirected,,1,Figur,Genderrolle,Mann
Karl Hediger,Hartherziger,Undirected,,1,Figur,Genderrolle,Mann
Karl Hediger,Flegel,Undirected,,1,Figur,Genderrolle,Mann
Karl Hediger,Lümmel,Undirected,,1,Figur,Genderrolle,Mann
Chäpper Hediger,Freund,Undirected,,1,Figur,Genderrolle,Mann
Chäpper Hediger,Gegenschäher,Undirected,,1,Figur,Genderrolle,Mann
Hermine Frymann,Zimmermanns Tochter,Undirected,,1,Figur,Genderrolle,Frau
Frau Hediger,Weib,Undirected,,1,Figur,Genderrolle,Frau
andere Söhne Hedigers,Karls Brüder,Undirected,,1,Figur,Genderrolle,Mann
Enkel Hediger,Arzt,Undirected,,1,Figur,Genderrolle,Mann
Enkel Hediger,Advokat,Undirected,,1,Figur,Genderrolle,Mann
Enkel Hediger,Richter,Undirected,,1,Figur,Genderrolle,Mann
Enkel Hediger,Ingenieur,Undirected,,1,Figur,Genderrolle,Mann
Enkel Hediger,Künstler,Undirected,,1,Figur,Genderrolle,Mann
Chäpper Hediger,Oheim,Undirected,,1,Figur,Genderrolle,Mann
Frau Hediger,Bäuerin,Undirected,,1,Figur,Genderrolle,Frau
Schuldner,Schuldner,Undirected,,1,Figur,Genderrolle,Mann
Schuldner,Schuft,Undirected,,1,Figur,Genderrolle,Mann
Vetterchen,Vetterchen,Undirected,,1,Figur,Genderrolle,Mann
Bäschen,Bäschen,Undirected,,1,Figur,Genderrolle,Frau
andere Söhne Hedigers,Knechte,Undirected,,1,Figur,Genderrolle,Mann
Frymann,Fester,Undirected,,1,Figur,Genderrolle,Mann
Frymann,Aufrechter,Undirected,,1,Figur,Genderrolle,Mann
Spinnerkönig,Spinnerkönig,Undirected,,1,Figur,Genderrolle,Mann
Spinnerkönig,Bürger,Undirected,,1,Figur,Genderrolle,Mann
