Id,Label,type,gender
Hansli Gyr,Hansli Gyr,Figur,
Leute,Leute,Rolle,Genderneutral
Hadrian VI,Hadrian VI,Figur,
Eidgenossen,Eidgenossen,Rolle,Genderneutral
LeoX,LeoX,Figur,
Soldaten,Soldaten,Figur,
ein Schneider,ein Schneider,Figur,
katholisches Volk,katholisches Volk,Figur,
Tavernengäste,Tavernengäste,Figur,
ein Söldner,ein Söldner,Figur,
Pfarrer,Pfarrer,Figur,
Mütter,Mütter,Figur,
Frauen,Frauen,Figur,
Männer,Männer,Rolle,Mann
Vater,Vater,Rolle,Mann
Mutter,Mutter,Figur,
Ursula,Ursula,Figur,
Menschen,Menschen,Rolle,Genderneutral
Gott,Gott,Figur,
Heilige,Heilige,Rolle,Genderneutral
Propheten,Propheten,Rolle,Genderneutral
Enoch Schnurrenberger,Enoch Schnurrenberger,Figur,
die Snurringen,die Snurringen,Figur,
Reformgegner,Reformgegner,Figur,
ein Wirt,ein Wirt,Figur,
eine Wirtin,eine Wirtin,Figur,
der Papst,der Papst,Figur,
 Huldrych Zwingli, Huldrych Zwingli,Figur,
Huldrych Zwingli,Huldrych Zwingli,Figur,
Wirtz von Goßau,Wirtz von Goßau,Figur,
ein Autor,ein Autor,Figur,
Schneck von Agasul,Schneck von Agasul,Figur,
Fürsten,Fürsten,Figur,
Jakob Rosenstil,Jakob Rosenstil,Figur,
Eltern Gyr,Eltern Gyr,Figur,
Frau Schnurrenberger,Frau Schnurrenberger,Figur,
die da Oben?,die da Oben?,Figur,
Staatsbeamter,Staatsbeamter,Figur,
ein Papist,ein Papist,Figur,
ein Mönch,ein Mönch,Figur,
Teufelsgesellen,Teufelsgesellen,Figur,
eine Frau,eine Frau,Figur,
Ulrich Zwingli,Ulrich Zwingli,Figur,
ein Zunftvorsteher,ein Zunftvorsteher,Figur,
ein Humanist,ein Humanist,Figur,
ein Geistlicher,ein Geistlicher,Figur,
ein Feldhauptmann,ein Feldhauptmann,Figur,
Reformanhänger,Reformanhänger,Figur,
Schüler,Schüler,Figur,
ein Jäger,ein Jäger,Figur,
Heuschober,Heuschober,Figur,
Landvogt von Grüningen,Landvogt von Grüningen,Figur,
die Baptisten,die Baptisten,Figur,
Abraham,Abraham,Figur,
ein Hochwächter,ein Hochwächter,Figur,
eine Nachtwandlerin,eine Nachtwandlerin,Figur,
ein Steuermann,ein Steuermann,Figur,
ein Staatsmann,ein Staatsmann,Figur,
ein Diplomat,ein Diplomat,Figur,
Katholiken,Katholiken,Figur,
König Ferdinand,König Ferdinand,Figur,
jünge Soldaten,jünge Soldaten,Figur,
ein Junge,ein Junge,Figur,
eine Landmagd,eine Landmagd,Figur,
ein Trompeter,ein Trompeter,Figur,
Redner,Redner,Rolle,Mann
ein Advokat,ein Advokat,Figur,
Rechtsleute,Rechtsleute,Figur,
ein Österreicher,ein Österreicher,Figur,
die Schweizer,die Schweizer,Figur,
Jakob Medicis,Jakob Medicis,Figur,
die Graubündner,die Graubündner,Figur,
Markus Sittich von Hohenems,Markus Sittich von Hohenems,Figur,
Herzog von Mailand,Herzog von Mailand,Figur,
Stephan Zeller,Stephan Zeller,Figur,
Landgraf Philipp,Landgraf Philipp,Figur,
Freska,Freska,Figur,
ein Geselle,ein Geselle,Figur,
der Geliebte,der Geliebte,Figur,
ein Graf,ein Graf,Figur,
eine Schwester,eine Schwester,Figur,
die Befehlshaber,die Befehlshaber,Figur,
Gelehrter,Gelehrter,Figur,
das Kind,das Kind,Figur,
heiliger Sebastian,heiliger Sebastian,Figur,
englischer Bräutigam,englischer Bräutigam,Figur,
ein Landmann,ein Landmann,Figur,
Sohn des Landmanns,Sohn des Landmanns,Figur,
Landmann,Landmann,Figur,
Brüder,Brüder,Rolle,Mann
Theseus,Theseus,Figur,
Sokrates,Sokrates,Figur,
Arstides,Arstides,Figur,
Antigonus,Antigonus,Figur,
Numa,Numa,Figur,
Camillus,Camillus,Figur,
Catonen,Catonen,Figur,
Scipionen,Scipionen,Figur,
Herkules,Herkules,Figur,
ein Soldat,ein Soldat,Figur,
Verwundeten,Verwundeten,Figur,
ein Abt,ein Abt,Figur,
Nachkommen Gyr,Nachkommen Gyr,Figur,
Mann,Mann,Rolle,Mann
Römer,Römer,Rolle,Mann
Hauptleute,Hauptleute,Rolle,Genderneutral
Hansli,Hansli,Rolle,Mann
Rottmeister,Rottmeister,Rolle,Mann
Träger,Träger,Rolle,Mann
Genossen,Genossen,Rolle,Mann
Kriegsleute,Kriegsleute,Rolle,Genderneutral
Kriegsknechte,Kriegsknechte,Rolle,Mann
Schneider,Schneider,Rolle,Mann
Soldat,Soldat,Rolle,Mann
Schweizer,Schweizer,Rolle,Mann
Volke,Volke,Rolle,Genderneutral
Söldner,Söldner,Rolle,Mann
Herren von Zürch,Herren von Zürch,Rolle,Mann
Pfaffen,Pfaffen,Rolle,Mann
Stubenhocker,Stubenhocker,Rolle,Mann
Duckmäuse,Duckmäuse,Rolle,Genderneutral
Schulmeister,Schulmeister,Rolle,Mann
Disputierter,Disputierter,Rolle,Mann
Kriegsmann,Kriegsmann,Rolle,Mann
Schwärmer,Schwärmer,Rolle,Mann
Weiber,Weiber,Rolle,Frau
Alte,Alte,Rolle,Mann
Junge,Junge,Rolle,Mann
Kamerad,Kamerad,Rolle,Mann
Nachbarstochter,Nachbarstochter,Rolle,Frau
Wesen,Wesen,Rolle,Genderneutral
Erwachsene,Erwachsene,Rolle,Genderneutral
Kind,Kind,Rolle,Genderneutral
Bürgersfrau,Bürgersfrau,Rolle,Frau
Bäuerin,Bäuerin,Rolle,Frau
Frau,Frau,Rolle,Frau
Frauensperson,Frauensperson,Rolle,Frau
Jugendgenossin,Jugendgenossin,Rolle,Frau
Kriegsläufer,Kriegsläufer,Rolle,Mann
Weib,Weib,Rolle,Frau
Brautleute,Brautleute,Rolle,Genderneutral
Sündelosen,Sündelosen,Rolle,Genderneutral
Geist Gottes,Geist Gottes,Rolle,Genderneutral
Ursel,Ursel,Rolle,Frau
Liebster,Liebster,Rolle,Mann
Richter,Richter,Rolle,Mann
Schnurrenberg,Schnurrenberg,Rolle,Mann
Vater Enoch,Vater Enoch,Rolle,Mann
