Source,Target,Type,Label,Weight,source type,target type,gender
Jenny Treibel,Frau,Undirected,,1,Figur,Rolle,Frau
"Fräulein Honig, Jenny Treibel",Damen,Undirected,,1,Figur,Rolle,Frau
Fräulein Honig,Erzieherin,Undirected,,1,Figur,Rolle,Frau
Fräulein Honig,Gesellschafterin,Undirected,,1,Figur,Rolle,Frau
Jenny Treibel,Damen,Undirected,,1,Figur,Rolle,Frau
Wilibald Schmidt,Professor Wilibald Schmidt,Undirected,,1,Figur,Rolle,Mann
Vater von Jenny Treibel,Vater,Undirected,,1,Figur,Rolle,Mann
Jenny Treibel,Jenny,Undirected,,1,Figur,Rolle,Frau
Vater von Jenny Treibel,Alter,Undirected,,1,Figur,Rolle,Mann
Mielke,Commis,Undirected,,1,Figur,Rolle,Mann
Mielke,Herr Mielke,Undirected,,1,Figur,Rolle,Mann
Louis,Lehrling,Undirected,,1,Figur,Rolle,Mann
Louis,Louis,Undirected,,1,Figur,Rolle,Mann
Wilibald Schmidt,Professor,Undirected,,1,Figur,Rolle,Mann
Frau Schmolke,Wirtschafterin,Undirected,,1,Figur,Rolle,Frau
Jenny Treibel,Freund,Undirected,,1,Figur,Rolle,Mann
Frau Schmolke,Frau,Undirected,,1,Figur,Rolle,Frau
Jenny Treibel,Frau Treibel,Undirected,,1,Figur,Rolle,Frau
Jenny Treibel,Frau Kommerzienrätin,Undirected,,1,Figur,Rolle,Frau
Corinna Schmidt,Fräulein Corinna,Undirected,,1,Figur,Rolle,Frau
Corinna Schmidt,Fräulein,Undirected,,1,Figur,Rolle,Frau
Jenny Treibel,Freundin,Undirected,,1,Figur,Rolle,Frau
Jenny Treibel,Rätin,Undirected,,1,Figur,Rolle,Frau
Eltern von Wilibald Schmidt,Eltern,Undirected,,1,Figur,Rolle,Genderneutral
Vater von  Wilibald Schmidt,Rechnungsrat Schmidt,Undirected,,1,Figur,Rolle,Mann
Mutter von Wilibald Schmidt,Frau,Undirected,,1,Figur,Rolle,Frau
Mutter von Wilibald Schmidt,Schwerin,Undirected,,1,Figur,Rolle,Frau
Vater von Wilibald Schmidt,Rechnungsrat,Undirected,,1,Figur,Rolle,Mann
Corinna Schmidt,Corinna,Undirected,,1,Figur,Rolle,Frau
Vater von Wilibald Schmidt,Mann,Undirected,,1,Figur,Rolle,Mann
Wilibald Schmidt,Vater,Undirected,,1,Figur,Rolle,Mann
Urgroßmutter von Wilibald Schmidt,Großmutter,Undirected,,1,Figur,Rolle,Frau
Urgroßmutter von Wilibald Schmidt,Charpentier,Undirected,,1,Figur,Rolle,Frau
Jenny Treibel,Kommerzienrätin,Undirected,,1,Figur,Rolle,Frau
Corinna Schmidt,Kind,Undirected,,1,Figur,Rolle,Genderneutral
Mutter von Jenny Treibel,Mutter,Undirected,,1,Figur,Rolle,Frau
Wilibald Schmidt,Student,Undirected,,1,Figur,Rolle,Mann
Herr Treibel,Treibel,Undirected,,1,Figur,Rolle,Mann
"Otto Treibel, Leopold Treibel",Kinder,Undirected,,1,Figur,Rolle,Genderneutral
Otto Treibel,Otto Treibel,Undirected,,1,Figur,Rolle,Mann
"Otto Treibel, Helene Treibel",Otto Treibels,Undirected,,1,Figur,Rolle,Genderneutral
Mister Nelson,Sohn,Undirected,,1,Figur,Rolle,Mann
Familie von Mister Nelson,Nelson & Co.,Undirected,,1,Figur,Rolle,Genderneutral
Otto Treibel,Sohn,Undirected,,1,Figur,Rolle,Mann
Otto Treibel,Otto,Undirected,,1,Figur,Rolle,Mann
Helene Treibel,Helene,Undirected,,1,Figur,Rolle,Frau
Mister Nelson,Geschäftsfreund,Undirected,,1,Figur,Rolle,Mann
"Otto Treibel, Helene Treibel",Ottos,Undirected,,1,Figur,Rolle,Genderneutral
Otto Treibel,Gast,Undirected,,1,Figur,Rolle,Genderneutral
Corinna Schmidt,Tochter,Undirected,,1,Figur,Rolle,Frau
Wilibald Schmidt,Mann,Undirected,,1,Figur,Rolle,Mann
Adolar Krola,Freund,Undirected,,1,Figur,Rolle,Mann
Adolar Krola,Krola,Undirected,,1,Figur,Rolle,Mann
Goldammer,Assessor,Undirected,,1,Figur,Rolle,Mann
Wilibald Schmidt,Papa,Undirected,,1,Figur,Rolle,Mann
Mister Nelson,Engländer,Undirected,,1,Figur,Rolle,Mann
Wilibald Schmidt,Juwel,Undirected,,1,Figur,Rolle,Genderneutral
Marcell Wedderkopp,Vetter,Undirected,,1,Figur,Rolle,Mann
Marcell Wedderkopp,Marcell,Undirected,,1,Figur,Rolle,Mann
Marcell Wedderkopp,Wedderkopp,Undirected,,1,Figur,Rolle,Mann
Marcell Wedderkopp,Mann,Undirected,,1,Figur,Rolle,Mann
"Otto Treibel, Leopold Treibel",Söhne,Undirected,,1,Figur,Rolle,Mann
Herr Treibel,Vater,Undirected,,1,Figur,Rolle,Mann
eine Tochter,Tochter,Undirected,,1,Figur,Rolle,Frau
Leopold Treibel,Leopold,Undirected,,1,Figur,Rolle,Mann
Otto Treibel,Bruder,Undirected,,1,Figur,Rolle,Mann
ein idealer Schwiegersohn,Schwiegersohn,Undirected,,1,Figur,Rolle,Mann
eine ideale Schwiegertochter,Schwiegertochter,Undirected,,1,Figur,Rolle,Frau
eine ideale Schwiegertochter,Person,Undirected,,1,Figur,Rolle,Genderneutral
eine ideale Schwiegertochter,Schauspielerin,Undirected,,1,Figur,Rolle,Frau
eine ideale Schwiegertochter,Malerin,Undirected,,1,Figur,Rolle,Frau
eine ideale Schwiegertochter,Pastorstochter,Undirected,,1,Figur,Rolle,Frau
eine ideale Schwiegertochter,Professorentochter,Undirected,,1,Figur,Rolle,Frau
Leopold Treibel,Kind,Undirected,,1,Figur,Rolle,Genderneutral
Schüler,Sekundare,Undirected,,1,Figur,Rolle,Genderneutral
Wilibald Schmidt,Klassiker,Undirected,,1,Figur,Rolle,Mann
Wilibald Schmidt,Romantiker,Undirected,,1,Figur,Rolle,Mann
Wilibald Schmidt,Großinquisitor,Undirected,,1,Figur,Rolle,Mann
Wilibald Schmidt,Wilibald,Undirected,,1,Figur,Rolle,Mann
Johann,Machthaber,Undirected,,1,Figur,Rolle,Mann
Wilibald Schmidt,Schmidt,Undirected,,1,Figur,Rolle,Mann
Frau Schmolke,Schmolke,Undirected,,1,Figur,Rolle,Frau
Wilibald Schmidt,Freund,Undirected,,1,Figur,Rolle,Mann
Mutter von Jenny Treibel,Frau Bürstenbinder,Undirected,,1,Figur,Rolle,Frau
Jenny Treibel,Püppchen,Undirected,,1,Figur,Rolle,Genderneutral
