Source,Target,Type,Label,Weight,source type,target type,gender
Effi Briest,Effi,Undirected,,1,Figur,Genderrolle,Frau
Effi Briest,Briest,Undirected,,1,Figur,Genderrolle,Frau
Kurfürst Georg Wilhelm,Kurfürst Georg Wilhelm,Undirected,,1,Figur,Genderrolle,Mann
Familie Briest,Familie von Briest,Undirected,,1,Figur,Genderrolle,Genderneutral
Luise Briest,Frau,Undirected,,1,Figur,Genderrolle,Frau
Effi Briest,Tochter,Undirected,,1,Figur,Genderrolle,Frau
Luise Briest,Mutter,Undirected,,1,Figur,Genderrolle,Frau
Bertha Jahnke,Damen,Undirected,,1,Figur,Genderrolle,Frau
Hulda Niemeyer,Damen,Undirected,,1,Figur,Genderrolle,Frau
Hertha Jahnke,Damen,Undirected,,1,Figur,Genderrolle,Frau
Luise Briest,Mama,Undirected,,1,Figur,Genderrolle,Frau
Effi Briest,Kind,Undirected,,1,Figur,Genderrolle,Genderneutral
Effi Briest,Kunstreiterin,Undirected,,1,Figur,Genderrolle,Frau
Herr Briest,Papa,Undirected,,1,Figur,Genderrolle,Mann
Effi Briest,Backfisch,Undirected,,1,Figur,Genderrolle,Genderneutral
Familie Rathenower,Rathenower,Undirected,,1,Figur,Genderrolle,Genderneutral
Oberst Goetze,Oberst Goetzes,Undirected,,1,Figur,Genderrolle,Mann
Oberst Goetze,Onkel,Undirected,,1,Figur,Genderrolle,Mann
Oberst Goetze,Courmacher,Undirected,,1,Figur,Genderrolle,Mann
Effi Briest,Dame,Undirected,,1,Figur,Genderrolle,Frau
Effi Briest,Mädchen,Undirected,,1,Figur,Genderrolle,Frau
Efii Briest,Effi,Undirected,,1,Figur,Genderrolle,Frau
Luise Briest,von Briest,Undirected,,1,Figur,Genderrolle,Frau
Effi Briest,Volk,Undirected,,1,Figur,Genderrolle,Genderneutral
Effi Briest,Jugend,Undirected,,1,Figur,Genderrolle,Genderneutral
Bertha Jahnke,Mädchen,Undirected,,1,Figur,Genderrolle,Frau
Hulda Niemeyer,Mädchen,Undirected,,1,Figur,Genderrolle,Frau
Hertha Jahnke,Mädchen,Undirected,,1,Figur,Genderrolle,Frau
Effi Briest,Persönchen,Undirected,,1,Figur,Genderrolle,Genderneutral
Effi Briest,Töchter,Undirected,,1,Figur,Genderrolle,Frau
