Id,Label,type,gender
Casanova,Casanova,Figur,
der hohe Rat,der hohe Rat,Figur,
hochmögende Herren,hochmögende Herren,Figur,
Voltaire,Voltaire,Figur,
Baron Perotti,Baron Perotti,Figur,
Perottis Geliebte,Perottis Geliebte,Figur,
Casanovas Wirtin,Casanovas Wirtin,Figur,
Casanovas Diener,Casanovas Diener,Figur,
Ein junges Weib,Ein junges Weib,Figur,
Ein betrunkener Mann,Ein betrunkener Mann,Figur,
Olivo,Olivo,Figur,
Ein Kutscher,Ein Kutscher,Figur,
Amalia,Amalia,Figur,
Olivos Kinder,Olivos Kinder,Figur,
Teresina,Teresina,Figur,
Marcolina,Marcolina,Figur,
Olivos Bruder,Olivos Bruder,Figur,
Graf Marazzani,Graf Marazzani,Figur,
Amalias Mutter,Amalias Mutter,Figur,
Olivos Vater,Olivos Vater,Figur,
Maria,Maria,Figur,
Nanetta,Nanetta,Figur,
Ein junger Bursche,Ein junger Bursche,Figur,
Leutnant Lorenzi,Leutnant Lorenzi,Figur,
Abbate Rossi,Abbate Rossi,Figur,
Olivos Magd,Olivos Magd,Figur,
Professor Morgagni,Professor Morgagni,Figur,
Marchese Celsi,Marchese Celsi,Figur,
Marchesa Celsi,Marchesa Celsi,Figur,
Brüder Ricardi,Brüder Ricardi,Figur,
Der Oberst,Der Oberst,Figur,
Bankier Hope,Bankier Hope,Figur,
Die Sophisten,Die Sophisten,Figur,
Morgagni,Morgagni,Figur,
Francesco Casanova,Francesco Casanova,Figur,
Baldi,Baldi,Figur,
Schwester Seraphina,Schwester Seraphina,Figur,
König von Frankreich,König von Frankreich,Figur,
Bürgermeister von Nürnberg,Bürgermeister von Nürnberg,Figur,
Der ältere Bruder Ricardi,Der ältere Bruder Ricardi,Figur,
Der junge Knecht,Der junge Knecht,Figur,
Saugrenue,Saugrenue,Figur,
Die Nonnen von Murano,Die Nonnen von Murano,Figur,
Vogel,Vogel,Rolle,Genderneutral
Rat,Rat,Rolle,Genderneutral
Meister,Meister,Rolle,Mann
Ratsherren,Ratsherren,Rolle,Mann
Herren,Herren,Rolle,Mann
Abenteurer,Abenteurer,Rolle,Mann
Lästerer,Lästerer,Rolle,Mann
Franzose,Franzose,Rolle,Mann
angeblicher Baron,angeblicher Baron,Rolle,Mann
Geliebte,Geliebte,Rolle,Frau
Wirtin,Wirtin,Rolle,Frau
Mann,Mann,Rolle,Mann
Gauner,Gauner,Rolle,Mann
Weib,Weib,Rolle,Frau
Insassen,Insassen,Rolle,Genderneutral
Herr von Stande,Herr von Stande,Rolle,Mann
Kutscher,Kutscher,Rolle,Mann
Herr,Herr,Rolle,Mann
Frau,Frau,Rolle,Frau
Wohltäter,Wohltäter,Rolle,Mann
Kinder,Kinder,Rolle,Genderneutral
Mädchen,Mädchen,Rolle,Frau
Töchterlein,Töchterlein,Rolle,Frau
Jüngling,Jüngling,Rolle,Mann
Hausvater,Hausvater,Rolle,Mann
Bekannter,Bekannter,Rolle,Mann
Chevalier von Seingalt,Chevalier von Seingalt,Rolle,Mann
Freund,Freund,Rolle,Mann
Tochter,Tochter,Rolle,Frau
Stiefbruder,Stiefbruder,Rolle,Mann
Chevalier,Chevalier,Rolle,Mann
Geschöpf,Geschöpf,Rolle,Frau
Männer,Männer,Rolle,Mann
Gattin,Gattin,Rolle,Frau
Graf,Graf,Rolle,Mann
Braut,Braut,Rolle,Frau
Mutter,Mutter,Rolle,Frau
Schullehrer,Schullehrer,Rolle,Mann
Witwe,Witwe,Rolle,Frau
Kaufmann,Kaufmann,Rolle,Mann
Verwandter,Verwandter,Rolle,Mann
Brautmutter,Brautmutter,Rolle,Frau
Gönner,Gönner,Rolle,Mann
Bote,Bote,Rolle,Mann
Bräutigam,Bräutigam,Rolle,Mann
Fremder,Fremder,Rolle,Mann
Begleiter,Begleiter,Rolle,Mann
Hausfrau,Hausfrau,Rolle,Frau
Töchter,Töchter,Rolle,Frau
Vater,Vater,Rolle,Mann
Bursche,Bursche,Rolle,Mann
Leutnant,Leutnant,Rolle,Mann
Nichte,Nichte,Rolle,Frau
Gast,Gast,Rolle,Genderneutral
Leute,Leute,Rolle,Genderneutral
Abbate,Abbate,Rolle,Mann
Fräulein,Fräulein,Rolle,Frau
Fahrgäste,Fahrgäste,Rolle,Genderneutral
Gatte,Gatte,Rolle,Mann
Freundin,Freundin,Rolle,Frau
Magd,Magd,Rolle,Frau
Ehepaar,Ehepaar,Rolle,Genderneutral
Nichtgekannter,Nichtgekannter,Rolle,Mann
Nachbarin,Nachbarin,Rolle,Frau
Professor,Professor,Rolle,Mann
Lehrer,Lehrer,Rolle,Mann
