Id,Label,type,gender
Professor Unrat,Professor Unrat,Figur,
Ein Schub Schüler,Ein Schub Schüler,Figur,
Kollegen Unrats,Kollegen Unrats,Figur,
Kieselack,Kieselack,Figur,
Lohmann,Lohmann,Figur,
Herr Direktor,Herr Direktor,Figur,
von Ertzums Onkel,von Ertzums Onkel,Figur,
Der Landesherr,Der Landesherr,Figur,
Angst,Angst,Figur,
Johanna von Orléan,Johanna von Orléan,Figur,
Karl,Karl,Figur,
Die Schüler,Die Schüler,Figur,
Homer,Homer,Figur,
Die Einwohner,Die Einwohner,Figur,
Schiller,Schiller,Figur,
Rosa,Rosa,Figur,
Lohmanns Vater,Lohmanns Vater,Figur,
Unrats Haushälterin,Unrats Haushälterin,Figur,
Herr Dröge,Herr Dröge,Figur,
Wilhelm Tell,Wilhelm Tell,Figur,
Unrats Sohn,Unrats Sohn,Figur,
Unrats Frau,Unrats Frau,Figur,
Blumenberg,Blumenberg,Figur,
Heuerbaas,Heuerbaas,Figur,
Hinnerich,Hinnerich,Figur,
Laurenz,Laurenz,Figur,
Lastträger,Lastträger,Rolle,
Dienstmädchen,Dienstmädchen,Rolle,
Der Laterenenanzünder,Der Laterenenanzünder,Figur,
Die Zeitungsfrau,Die Zeitungsfrau,Figur,
Ein ehemaliger Schüler,Ein ehemaliger Schüler,Figur,
Die Straßenjugend,Die Straßenjugend,Figur,
Der Tabakhändler,Der Tabakhändler,Figur,
Besitzer der Café Central,Besitzer der Café Central,Figur,
Oberlehrer Wittkopp,Oberlehrer Wittkopp,Figur,
Musikalienhändler Kellner,Musikalienhändler Kellner,Figur,
Johannes Rindfleisch,Johannes Rindfleisch,Figur,
Der Schuhstergeselle,Der Schuhstergeselle,Figur,
Tochter der Schuhsters,Tochter der Schuhsters,Figur,
Kinder des Schuhsters,Kinder des Schuhsters,Figur,
Frau des Schuhsters,Frau des Schuhsters,Figur,
Ein berühmter Missionar,Ein berühmter Missionar,Figur,
Familie des Schuhsters,Familie des Schuhsters,Figur,
Doktor Hübbenett,Doktor Hübbenett,Figur,
Konsul Breetpoot,Konsul Breetpoot,Figur,
Diener des Konsuls,Diener des Konsuls,Figur,
Eine Dame,Eine Dame,Figur,
Oberlehrer Richter,Oberlehrer Richter,Figur,
Klaas,Klaas,Figur,
Zwei Arbeiter,Zwei Arbeiter,Figur,
Wirt des blauen Engels,Wirt des blauen Engels,Figur,
Ein älterer Bürger,Ein älterer Bürger,Figur,
Zwei Soldaten,Zwei Soldaten,Figur,
Mehrere Arbeiter,Mehrere Arbeiter,Figur,
Guste,Guste,Figur,
von Ertzum,von Ertzum,Figur,
Eine Kuhmagd,Eine Kuhmagd,Figur,
Ein Viehjunge,Ein Viehjunge,Figur,
Pastor Thelander,Pastor Thelander,Figur,
Dora Breetpoot,Dora Breetpoot,Figur,
Assessor Knut,Assessor Knut,Figur,
Leutnant von Gierschke,Leutnant von Gierschke,Figur,
Sohn des Konsuls,Sohn des Konsuls,Figur,
Der Kustos,Der Kustos,Figur,
Tyrann,Tyrann,Genderrolle,Mann
Raat,Raat,Genderrolle,Mann
Unrat,Unrat,Genderrolle,Mann
Schüler,Schüler,Genderrolle,Genderneutral
Herren,Herren,Genderrolle,Mann
Lehrer,Lehrer,Genderrolle,Mann
Alter,Alter,Genderrolle,Mann
Professor,Professor,Genderrolle,Mann
Landjunker,Landjunker,Genderrolle,Mann
Ordinarius,Ordinarius,Genderrolle,Mann
Vieh,Vieh,Genderrolle,Genderneutral
Herr,Herr,Genderrolle,Mann
Direktor,Direktor,Genderrolle,Mann
Abschaum,Abschaum,Genderrolle,Genderneutral
Onkel,Onkel,Genderrolle,Mann
Offizier,Offizier,Genderrolle,Mann
Landesherr,Landesherr,Genderrolle,Mann
Bursche,Bursche,Genderrolle,Mann
Mensch,Mensch,Genderrolle,Genderneutral
Verurteilter,Verurteilter,Genderrolle,Mann
Primus,Primus,Genderrolle,Mann
Jungfrau,Jungfrau,Genderrolle,Frau
Dauphin,Dauphin,Genderrolle,Mann
Prophetin,Prophetin,Genderrolle,Frau
Johanna,Johanna,Genderrolle,Frau
Hirtin,Hirtin,Genderrolle,Frau
Hoheit,Hoheit,Genderrolle,Genderneutral
Mädel,Mädel,Genderrolle,Frau
Pedantin,Pedantin,Genderrolle,Frau
Knaben,Knaben,Genderrolle,Mann
