Id,Label,type,gender
Törleß,Törleß,Figur,
Der Bahnhofsvorstand,Der Bahnhofsvorstand,Figur,
Eine Gesellschaft,Eine Gesellschaft,Figur,
Ein Ehepaar,Ein Ehepaar,Figur,
Frau Törleß,Frau Törleß,Figur,
Das Ehepaar Törleß,Das Ehepaar Törleß,Figur,
Fürst H.,Fürst H.,Figur,
Fürst H.s Erzieher,Fürst H.s Erzieher,Figur,
Beineberg,Beineberg,Figur,
Reiting,Reiting,Figur,
Moté,Moté,Figur,
Hofmeister,Hofmeister,Figur,
Herr Törleß,Herr Törleß,Figur,
Der Schaffner,Der Schaffner,Figur,
Freunde von Törleß,Freunde von Törleß,Figur,
Der Bauer,Der Bauer,Figur,
Die Konditorin,Die Konditorin,Figur,
Beinebergs Vater,Beinebergs Vater,Figur,
Ein Dienstmädchen,Ein Dienstmädchen,Figur,
Ein Betrunkener,Ein Betrunkener,Figur,
Bozena,Bozena,Figur,
Die Kellnerin,Die Kellnerin,Figur,
Beinebergs Mutter,Beinebergs Mutter,Figur,
Beinebergs Tante,Beinebergs Tante,Figur,
Karl Beineberg,Karl Beineberg,Figur,
Die Köchin,Die Köchin,Figur,
Basini,Basini,Figur,
Hofmeier,Hofmeier,Figur,
Dschjusch,Dschjusch,Figur,
Basinis Mutter,Basinis Mutter,Figur,
Basinis Vormund,Basinis Vormund,Figur,
Reitings Vater,Reitings Vater,Figur,
Reitings Mutter,Reitings Mutter,Figur,
Reitling,Reitling,Figur,
Ein Mörder,Ein Mörder,Figur,
Basinis Schwester,Basinis Schwester,Figur,
Zögling,Zögling,Genderrolle,Mann
Bahnhofsvorstand,Bahnhofsvorstand,Genderrolle,Mann
Leute,Leute,Genderrolle,Genderneutral
Ehepaar,Ehepaar,Genderrolle,Genderneutral
Gruppe,Gruppe,Genderrolle,Genderneutral
Frau Hofrat,Frau Hofrat,Genderrolle,Frau
Dame,Dame,Genderrolle,Frau
Kind,Kind,Genderrolle,Genderneutral
Liebling,Liebling,Genderrolle,Genderneutral
Junge,Junge,Genderrolle,Mann
Knabe,Knabe,Genderrolle,Mann
Eltern,Eltern,Genderrolle,Genderneutral
Mutter,Mutter,Genderrolle,Frau
Bäumchen,Bäumchen,Genderrolle,Genderneutral
Hofrätin,Hofrätin,Genderrolle,Frau
Mensch,Mensch,Genderrolle,Genderneutral
Fürst,Fürst,Genderrolle,Mann
Erzieher,Erzieher,Genderrolle,Mann
Doktor,Doktor,Genderrolle,Mann
Ordensgeistlicher,Ordensgeistlicher,Genderrolle,Mann
Prinz,Prinz,Genderrolle,Mann
Freund,Freund,Genderrolle,Mann
Vernünftiger,Vernünftiger,Genderrolle,Mann
Kameraden,Kameraden,Genderrolle,Mann
Hofrat,Hofrat,Genderrolle,Mann
Bube,Bube,Genderrolle,Mann
Baron,Baron,Genderrolle,Mann
Bursche,Bursche,Genderrolle,Mann
Sohn,Sohn,Genderrolle,Mann
Papa,Papa,Genderrolle,Mann
Schaffner,Schaffner,Genderrolle,Mann
Freunde,Freunde,Genderrolle,Genderneutral
Herren,Herren,Genderrolle,Mann
Eilende,Eilende,Genderrolle,Genderneutral
Bauer,Bauer,Genderrolle,Mann
Bubi,Bubi,Genderrolle,Genderneutral
Gäste,Gäste,Genderrolle,Genderneutral
Konditorin,Konditorin,Genderrolle,Frau
Vater,Vater,Genderrolle,Mann
General,General,Genderrolle,Mann
Offizier,Offizier,Genderrolle,Mann
Europäer,Europäer,Genderrolle,Mann
Reiteroffizier,Reiteroffizier,Genderrolle,Mann
Mann,Mann,Genderrolle,Mann
Freiluftmensch,Freiluftmensch,Genderrolle,Genderneutral
Dienstmädchen,Dienstmädchen,Genderrolle,Frau
Gefangener,Gefangener,Genderrolle,Mann
Aufgegebener,Aufgegebener,Genderrolle,Mann
Abgeschlossener,Abgeschlossener,Genderrolle,Mann
Betrunkener,Betrunkener,Genderrolle,Mann
Dreckfink,Dreckfink,Genderrolle,Genderneutral
Weib,Weib,Genderrolle,Frau
Bauernlümmel,Bauernlümmel,Genderrolle,Mann
Trunkener,Trunkener,Genderrolle,Mann
Kellnerin,Kellnerin,Genderrolle,Frau
