Source,Target,Type,Label,Weight,source type,target type,gender
Wilhelm,Leutnant,Undirected,,1,Figur,Genderrolle,Mann
Wilhelm,Herr,Undirected,,1,Figur,Genderrolle,Mann
Wilhelm,Offizier,Undirected,,1,Figur,Genderrolle,Mann
Joseph,Bursche,Undirected,,1,Figur,Genderrolle,Mann
2,Herr Ober–,Undirected,,1,Figur,Genderrolle,Mann
Joseph,Schafskopf,Undirected,,1,Figur,Genderrolle,Genderneutral
2,Oberleutnant,Undirected,,1,Figur,Genderrolle,Mann
2,Kamerad,Undirected,,1,Figur,Genderrolle,Mann
Höchster,Oberleutnant,Undirected,,1,Figur,Genderrolle,Mann
Wengler,Leutnant,Undirected,,1,Figur,Genderrolle,Mann
Herr Hauptmann,Hauptmann,Undirected,,1,Figur,Genderrolle,Mann
2,Wartender,Undirected,,1,Figur,Genderrolle,Mann
2,Freund,Undirected,,1,Figur,Genderrolle,Mann
2,Eintretender,Undirected,,1,Figur,Genderrolle,Mann
2,Otto,Undirected,,1,Figur,Genderrolle,Mann
Plato,Waisenknabe,Undirected,,1,Figur,Genderrolle,Mann
Wilhelm,Kasda,Undirected,,1,Figur,Genderrolle,Mann
Wilhelm,Willi,Undirected,,1,Figur,Genderrolle,Mann
Emilie Keßner,Fräulein,Undirected,,1,Figur,Genderrolle,Frau
Frau Keßner,Mutter,Undirected,,1,Figur,Genderrolle,Frau
2,Kassierer,Undirected,,1,Figur,Genderrolle,Mann
Sohn von Herrn Bogner,Bube,Undirected,,1,Figur,Genderrolle,Mann
2,Offizier,Undirected,,1,Figur,Genderrolle,Mann
2,Bursche,Undirected,,1,Figur,Genderrolle,Mann
Rudi Höchster,Höchster,Undirected,,1,Figur,Genderrolle,Mann
Onkel Robert,Onkel,Undirected,,1,Figur,Genderrolle,Mann
Onkel Robert,Sonderling,Undirected,,1,Figur,Genderrolle,Genderneutral
Cousin Guido,Cousin,Undirected,,1,Figur,Genderrolle,Mann
Onkel Robert,Herr,Undirected,,1,Figur,Genderrolle,Mann
Onkel Robert,Leute,Undirected,,1,Figur,Genderrolle,Genderneutral
Tugut,Hauptmacher,Undirected,,1,Figur,Genderrolle,Mann
Tugut,Regimentsarzt,Undirected,,1,Figur,Genderrolle,Mann
Wimmer,Oberleutnant,Undirected,,1,Figur,Genderrolle,Mann
Greisinger,Siebenundsiebziger,Undirected,,1,Figur,Genderrolle,Genderneutral
Ein Advokat,Advokat,Undirected,,1,Figur,Genderrolle,Mann
Weiß,Sekretär,Undirected,,1,Figur,Genderrolle,Mann
Ein Schauspieler,Schauspieler,Undirected,,1,Figur,Genderrolle,Mann
Konsul Schnabel,Konsul,Undirected,,1,Figur,Genderrolle,Mann
Konsul Schnabel,Herr,Undirected,,1,Figur,Genderrolle,Mann
Die Hauptwurzen,Choristin,Undirected,,1,Figur,Genderrolle,Frau
Die Hauptwurzen,Operettensängerin,Undirected,,1,Figur,Genderrolle,Frau
Oberstleutnant Wositzky,Oberstleutnant,Undirected,,1,Figur,Genderrolle,Mann
Oberstleutnant Wositzky,Herr,Undirected,,1,Figur,Genderrolle,Mann
Zwei Mädchen,Mädel,Undirected,,1,Figur,Genderrolle,Frau
Vater von Wilhelm,Oberstleutnant,Undirected,,1,Figur,Genderrolle,Mann
Familie Keßner,Familie,Undirected,,1,Figur,Genderrolle,Genderneutral
Emilie Keßner,Fräulein Emilie,Undirected,,1,Figur,Genderrolle,Frau
Emilie Keßner,Tischnachbarin,Undirected,,1,Figur,Genderrolle,Frau
Wilhelm,Gast,Undirected,,1,Figur,Genderrolle,Mann
Ein junger Rechtsanwalt,Rechtsanwalt,Undirected,,1,Figur,Genderrolle,Mann
Herr Keßner,Hasuherr,Undirected,,1,Figur,Genderrolle,Mann
Wilhelm,Herr Leutnant,Undirected,,1,Figur,Genderrolle,Mann
Emilie Keßner,Damen,Undirected,,1,Figur,Genderrolle,Frau
Frau Keßner,Damen,Undirected,,1,Figur,Genderrolle,Frau
Frau Keßner,Hausfrau,Undirected,,1,Figur,Genderrolle,Frau
Zwei Töchter,Töchter,Undirected,,1,Figur,Genderrolle,Frau
