Source,Target,Type,Label,Weight,source type,target type,gender
Spießer,Spießer,Undirected,,1,Figur,Genderrolle,Mann
Spießer,Egoist,Undirected,,1,Figur,Genderrolle,Mann
Spießer der Zukunft,Spießer der Zukunft,Undirected,,1,Figur,Genderrolle,Mann
Ödön von Horváth,Verfasser,Undirected,,1,Figur,Genderrolle,Mann
Gast,Gast,Undirected,,1,Figur,Genderrolle,Genderneutral
Leute,Leut,Undirected,,1,Figur,Genderrolle,Genderneutral
Frau Stanzinger,Frau Stanzinger,Undirected,,1,Figur,Genderrolle,Frau
Schwester von Frau Stanzinger,Fräulein Schwester,Undirected,,1,Figur,Genderrolle,Frau
Frau Hofopernsänge,Frau Hofopernsänger,Undirected,,1,Figur,Genderrolle,Frau
ein Auto,Greis,Undirected,,1,Figur,Genderrolle,Mann
Herr Portschinger,Käufer,Undirected,,1,Figur,Genderrolle,Mann
Herr Portschinger,Käsehändler,Undirected,,1,Figur,Genderrolle,Mann
Herr Portschinger,Portschinger,Undirected,,1,Figur,Genderrolle,Mann
Herr Portschinger,Mensch,Undirected,,1,Figur,Genderrolle,Genderneutral
Adam Mauerer,Freund,Undirected,,1,Figur,Genderrolle,Mann
Adam Mauerer,Adam,Undirected,,1,Figur,Genderrolle,Mann
Adam Mauerer,Sachverständige,Undirected,,1,Figur,Genderrolle,Mann
Herr Portschinger,Rindvieh,Undirected,,1,Figur,Genderrolle,Genderneutral
Frau Portschinger,Frau,Undirected,,1,Figur,Genderrolle,Frau
Prälat,Prälatn,Undirected,,1,Figur,Genderrolle,Mann
Mädchen,Madin,Undirected,,1,Figur,Genderrolle,Frau
Prälat,Nachtkastl,Undirected,,1,Figur,Genderrolle,Mann
Adam Mauerer,Rosenheimer,Undirected,,1,Figur,Genderrolle,Mann
Herr Portschinger,Rosenheimer,Undirected,,1,Figur,Genderrolle,Mann
Adam Mauerer,Herren,Undirected,,1,Figur,Genderrolle,Mann
Herr Portschinger,Herren,Undirected,,1,Figur,Genderrolle,Mann
ein Schutzmann,Schutzmann,Undirected,,1,Figur,Genderrolle,Mann
ein Rechtsanwalt,Rechtsanawalt,Undirected,,1,Figur,Genderrolle,Mann
Gebrüder Bär,Gebrüder Bär,Undirected,,1,Figur,Genderrolle,Mann
die Hofopernsänger,Dame,Undirected,,1,Figur,Genderrolle,Frau
die Hofopernsänger,Hofopernsängerin,Undirected,,1,Figur,Genderrolle,Frau
Mann der Hofopernsängerin,Gatten,Undirected,,1,Figur,Genderrolle,Mann
Mann der Hofopernsängerin,Honorarkonsul,Undirected,,1,Figur,Genderrolle,Mann
die Hofopernsänger,Vierzigerin,Undirected,,1,Figur,Genderrolle,Frau
ein Mann,Mannsbild,Undirected,,1,Figur,Genderrolle,Mann
ein Bruder Bär,Bär,Undirected,,1,Figur,Genderrolle,Mann
der zweite Bruder Bär,Bär,Undirected,,1,Figur,Genderrolle,Mann
Frauen,Damen,Undirected,,1,Figur,Genderrolle,Frau
Gebrüder Bär,Bären,Undirected,,1,Figur,Genderrolle,Mann
die Hofopernsänger,Prostituierte,Undirected,,1,Figur,Genderrolle,Frau
ein Mann,Mann,Undirected,,1,Figur,Genderrolle,Mann
Frau eines Ministerialrats,Frau eines Ministerialrats,Undirected,,1,Figur,Genderrolle,Frau
ein Ministerialrat,Ministerialrats,Undirected,,1,Figur,Genderrolle,Mann
die Hofopernsänger,Weib,Undirected,,1,Figur,Genderrolle,Frau
Ferdinand Perzl,Gatte,Undirected,,1,Figur,Genderrolle,Mann
Ringkämpfer,Ringkämpfer,Undirected,,1,Figur,Genderrolle,Mann
ein Ringkämpfer,Ringkämpfer,Undirected,,1,Figur,Genderrolle,Mann
ein Ringkämpfer,Weltmeister,Undirected,,1,Figur,Genderrolle,Mann
erster Arzt,Arzt,Undirected,,1,Figur,Genderrolle,Mann
zweiter Arzt,Arzt,Undirected,,1,Figur,Genderrolle,Mann
dritter Arzt,Arzt,Undirected,,1,Figur,Genderrolle,Mann
vierter Arzt,Arzt,Undirected,,1,Figur,Genderrolle,Mann
Ärzte,Ärzte,Undirected,,1,Figur,Genderrolle,Mann
Ferdinand Perzl,Seliger,Undirected,,1,Figur,Genderrolle,Mann
Ferdinand Perzl,Mediziner,Undirected,,1,Figur,Genderrolle,Mann
Ferdinand Perzl,Frauenarzt,Undirected,,1,Figur,Genderrolle,Mann
Großmutter Perzl,Großmutter,Undirected,,1,Figur,Genderrolle,Frau
Großmutter Perzl,Mailänderin,Undirected,,1,Figur,Genderrolle,Frau
Ferdinand Perzl,Doktor,Undirected,,1,Figur,Genderrolle,Mann
Ferdinand Perzl,Opfer,Undirected,,1,Figur,Genderrolle,Mann
eine Patientin,Patientin,Undirected,,1,Figur,Genderrolle,Frau
Ferdinand Perzl,Quartalssäufer,Undirected,,1,Figur,Genderrolle,Mann
436,Wienerin,Undirected,,1,Figur,Genderrolle,Frau
Ferdinand Perzl,Kind,Undirected,,1,Figur,Genderrolle,Genderneutral
Ferdinand Perzl,Gymnasiast,Undirected,,1,Figur,Genderrolle,Mann
Ferdinand Perzl,k.u.k. Oberleutnant,Undirected,,1,Figur,Genderrolle,Mann
Ferdinand Perzl,Antisemit,Undirected,,1,Figur,Genderrolle,Mann
Frieda Klovac,Kontoristin,Undirected,,1,Figur,Genderrolle,Frau
436,Hur,Undirected,,1,Figur,Genderrolle,Frau
Frieda Klovac,Blondine,Undirected,,1,Figur,Genderrolle,Frau
Mutter Perlz,Mutter,Undirected,,1,Figur,Genderrolle,Frau
Ferdinand Perzl,Nandl,Undirected,,1,Figur,Genderrolle,Frau
eine Frau,Mädl,Undirected,,1,Figur,Genderrolle,Frau
Frieda Klovac,Angestellte,Undirected,,1,Figur,Genderrolle,Frau
Frieda Klovac,Schwiegertochter,Undirected,,1,Figur,Genderrolle,Frau
Frieda Klovac,Mensch,Undirected,,1,Figur,Genderrolle,Genderneutral
Frieda Klovac,Sau,Undirected,,1,Figur,Genderrolle,Frau
Frieda Klovac,Mistvieh,Undirected,,1,Figur,Genderrolle,Genderneutral
Verbrecher,Verbrecher,Undirected,,1,Figur,Genderrolle,Mann
ein Arbeiter,ein Arbeiter,Undirected,,1,Figur,Genderrolle,Mann
der Hausfreund,der Hausfreund,Undirected,,1,Figur,Genderrolle,Mann
der Hausfreund,Zeichenlehrer,Undirected,,1,Figur,Genderrolle,Mann
Tizian,Tizian,Undirected,,1,Figur,Genderrolle,Mann
Katzlmacher,Katzlmacher,Undirected,,1,Figur,Genderrolle,Mann
436,Perzl,Undirected,,1,Figur,Genderrolle,Frau
Graf Blanquez,Persöhnlichkeit,Undirected,,1,Figur,Genderrolle,Genderneutral
Graf Blanquez,Hugenotten,Undirected,,1,Figur,Genderrolle,Genderneutral
Piaristen,Piaristen,Undirected,,1,Figur,Genderrolle,Mann
Stabsarzt,Stabsarzt,Undirected,,1,Figur,Genderrolle,Mann
Geschwister,Geschwister,Undirected,,1,Figur,Genderrolle,Genderneutral
Graf Blanquez,Junge,Undirected,,1,Figur,Genderrolle,Mann
Graf Blanquez,Gefährte,Undirected,,1,Figur,Genderrolle,Mann
436,Unschuld,Undirected,,1,Figur,Genderrolle,Frau
junge Frau,Mädchen,Undirected,,1,Figur,Genderrolle,Frau
Graf Blanquez,Herr Graf,Undirected,,1,Figur,Genderrolle,Mann
Graf Blanquez,Graf,Undirected,,1,Figur,Genderrolle,Mann
Graf Blanquez,Kavaliere,Undirected,,1,Figur,Genderrolle,Mann
436,die Perzl,Undirected,,1,Figur,Genderrolle,Frau
Graf Blanchezk,Gauner,Undirected,,1,Figur,Genderrolle,Mann
Gauner,Gauner,Undirected,,1,Figur,Genderrolle,Mann
Großonkel von Graf Blanchezk,Großonkel,Undirected,,1,Figur,Genderrolle,Mann
Großonkel von Graf Blanchezk,Ärmste,Undirected,,1,Figur,Genderrolle,Mann
eine Frau,Frau,Undirected,,1,Figur,Genderrolle,Frau
Kammerlocher,Kammerlocher,Undirected,,1,Figur,Genderrolle,Mann
Ulanen,Ulanden,Undirected,,1,Figur,Genderrolle,Genderneutral
Kammerlocher,Kadettaspiranten,Undirected,,1,Figur,Genderrolle,Mann
eine Ägypterin,Ägypterin,Undirected,,1,Figur,Genderrolle,Frau
Kammerlocher,Narziß,Undirected,,1,Figur,Genderrolle,Mann
Graf Blanchezk,Strizzi,Undirected,,1,Figur,Genderrolle,Mann
Graf Blanchezk,Mensch,Undirected,,1,Figur,Genderrolle,Genderneutral
Bruder von Frau Pertzl,Stiefbruder,Undirected,,1,Figur,Genderrolle,Mann
Graf Blanchezk,Jüngste,Undirected,,1,Figur,Genderrolle,Mann
Graf Blanchezk,Besuch,Undirected,,1,Figur,Genderrolle,Genderneutral
