Id,Label,type,gender
Literaten,Literaten,Figur,
der Mensch,der Mensch,Figur,
Fahrgast,Fahrgast,Figur,
Menschen,Menschen,Rolle,Genderneutral
Frauen,Frauen,Figur,
Leute,Leute,Figur,
Männer,Männer,Rolle,Mann
Kurt Tucholsky,Kurt Tucholsky,Figur,
Dichter,Dichter,Rolle,Mann
Publikum,Publikum,Figur,
Thomas Mann,Thomas Mann,Figur,
Hermann Keyserling,Hermann Keyserling,Figur,
Schüler,Schüler,Figur,
Klassenrüpel,Klassenrüpel,Figur,
Philosoph,Philosoph,Figur,
Kasimir Edschmid,Kasimir Edschmid,Figur,
Kunden,Kunden,Figur,
Rudolf Breitscheid,Rudolf Breitscheid,Figur,
Adolf Bartels,Adolf Bartels,Figur,
Oberlandesgerichtsrat,Oberlandesgerichtsrat,Figur,
Rudolf Hilferding,Rudolf Hilferding,Figur,
Peter Panter,Peter Panter,Figur,
Verständige,Verständige,Figur,
Statisten,Statisten,Figur,
Mimen,Mimen,Figur,
Virtuosen,Virtuosen,Figur,
fünf Soldaten,fünf Soldaten,Figur,
drei Krankenschwestern,drei Krankenschwestern,Figur,
Franzosen,Franzosen,Figur,
Engländer,Engländer,Figur,
Russen,Russen,Figur,
Judendjunge,Judendjunge,Figur,
Medizinprofessor,Medizinprofessor,Figur,
Todkranker,Todkranker,Figur,
Ärzte,Ärzte,Figur,
Götter,Götter,Figur,
Gott,Gott,Figur,
der Deutsche,der Deutsche,Figur,
Bauern,Bauern,Figur,
Ernst Toller,Ernst Toller,Figur,
Arbeiter,Arbeiter,Figur,
Bürger,Bürger,Rolle,Mann
Masse,Masse,Figur,
Unabhängige,Unabhängige,Figur,
der Arbeiter,der Arbeiter,Figur,
Arnold Zweig,Arnold Zweig,Figur,
Bastmayr,Bastmayr,Figur,
Bennarône,Bennarône,Figur,
Direktor,Direktor,Figur,
kleines Mädchen,kleines Mädchen,Figur,
Arthur Holitscher,Arthur Holitscher,Figur,
Familie von Arthur Holitscher,Familie von Arthur Holitscher,Figur,
Knut Hamsun,Knut Hamsun,Figur,
Autoren,Autoren,Figur,
Anarchisten,Anarchisten,Figur,
ein Freund,ein Freund,Figur,
ein Graf,ein Graf,Figur,
Frau,Frau,Figur,
Kurt Martens,Kurt Martens,Figur,
Bonzen,Bonzen,Figur,
Hans Fallada,Hans Fallada,Figur,
Ernst Rohwolt,Ernst Rohwolt,Figur,
Bauernführer,Bauernführer,Figur,
Nationalsozialisten,Nationalsozialisten,Figur,
Bewohner Altholms,Bewohner Altholms,Figur,
der Bauer,der Bauer,Figur,
eine alte Jungfer,eine alte Jungfer,Figur,
Guy de Maupassant,Guy de Maupassant,Figur,
der Sozialdemokrat,der Sozialdemokrat,Figur,
Bürgermeister Altholms,Bürgermeister Altholms,Figur,
Regierungspräsident,Regierungspräsident,Figur,
Bürgermeister Altholms und Regierungspräsident,Bürgermeister Altholms und Regierungspräsident,Figur,
Vertrauensmann,Vertrauensmann,Figur,
Polizei,Polizei,Figur,
Führer,Führer,Figur,
Zeitungsleute,Zeitungsleute,Figur,
Kaufleute,Kaufleute,Figur,
Betty,Betty,Figur,
ein Duzfreund,ein Duzfreund,Figur,
Herr Stuff,Herr Stuff,Figur,
Zeugen,Zeugen,Figur,
Angeklagte,Angeklagte,Figur,
Sozialdemokraten,Sozialdemokraten,Figur,
Volk,Volk,Figur,
Banz,Banz,Figur,
Kommunist,Kommunist,Figur,
Republikaner,Republikaner,Figur,
Helden,Helden,Figur,
Juden,Juden,Figur,
Kommunisten,Kommunisten,Figur,
Gänsemagd,Gänsemagd,Figur,
Franz Kafka,Franz Kafka,Figur,
Frau Grubach,Frau Grubach,Figur,
Fräulein Bürstner,Fräulein Bürstner,Figur,
Josef K.,Josef K.,Figur,
Aufseher,Aufseher,Figur,
Gerichtsboten,Gerichtsboten,Figur,
Advokaten,Advokaten,Figur,
Gerichtsdiener,Gerichtsdiener,Figur,
Diener,Diener,Figur,
Untersuchungsrichter,Untersuchungsrichter,Figur,
Prügler,Prügler,Figur,
Wärter,Wärter,Figur,
Advokat,Advokat,Figur,
Max Brod,Max Brod,Figur,
Richter,Richter,Figur,
ein Maler,ein Maler,Figur,
ein Gefägniskaplan,ein Gefägniskaplan,Figur,
Patient,Patient,Figur,
Arzt,Arzt,Figur,
Untertan,Untertan,Rolle,Mann
Väter,Väter,Figur,
Söhne,Söhne,Figur,
Heinrich Mann,Heinrich Mann,Figur,
Untertanen,Untertanen,Figur,
Machthaber,Machthaber,Figur,
Diedrich Heßling,Diedrich Heßling,Figur,
Kaiser,Kaiser,Rolle,Mann
Magda,Magda,Figur,
Schutzmann,Schutzmann,Figur,
der Passant,der Passant,Figur,
der Unteroffizier,der Unteroffizier,Figur,
der Rekrut,der Rekrut,Figur,
der Landrat,der Landrat,Figur,
der Dörfler,der Dörfler,Figur,
der Gutsverwalter,der Gutsverwalter,Figur,
der Beamte,der Beamte,Figur,
Vorgesetzte,Vorgesetzte,Figur,
Untergebene,Untergebene,Figur,
Musketier Lyck,Musketier Lyck,Figur,
Arbeitslosen,Arbeitslosen,Figur,
der alte Buck,der alte Buck,Figur,
Onkel Casimir,Onkel Casimir,Figur,
Johann Friedrich Cotta,Johann Friedrich Cotta,Figur,
Friedrich Schiller,Friedrich Schiller,Figur,
Holkische Reitende Jäger,Holkische Reitende Jäger,Figur,
Holkischer Jäger,Holkischer Jäger,Figur,
Aufwärterin,Aufwärterin,Figur,
Thekla,Thekla,Figur,
Max,Max,Figur,
Thekla und Max,Thekla und Max,Figur,
Bertelmann,Bertelmann,Figur,
Xaver Gscheitner,Xaver Gscheitner,Figur,
Neumänner,Neumänner,Figur,
Rittmeister Neumann,Rittmeister Neumann,Figur,
Johann Wolfgang von Goethe,Johann Wolfgang von Goethe,Figur,
Seni,Seni,Figur,
T. Betternich,T. Betternich,Figur,
Geschäftsleute,Geschäftsleute,Figur,
Badegäste,Badegäste,Figur,
der Dichter,der Dichter,Figur,
Friedrich Markus Huebner,Friedrich Markus Huebner,Figur,
Dame des Herzens,Dame des Herzens,Figur,
der Leser,der Leser,Figur,
Hermann Hesse,Hermann Hesse,Figur,
Wolfgang Wieland,Wolfgang Wieland,Figur,
Wolfgang Wieland und Friedrich Markus Huebner,Wolfgang Wieland und Friedrich Markus Huebner,Figur,
